time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2016-08-27,territory,yk,0.0,0,0,0.0,0,,,0,,0,,0,,0,0,0
2016-02-13,province,on,2456.0,477,63,2215.0,390,1519.0,1510.0,23,1537.0,26,443.0,17,360.0,30,24,540
2016-04-30,province,bc,231.0,26,11,231.0,14,79.0,79.0,2,79.0,5,79.0,27,79.0,4,0,37
2015-12-12,province,bc,266.0,13,2,266.0,3,135.0,135.0,2,135.0,7,135.0,22,135.0,2,2,15
2016-02-13,province,qc,2595.0,411,25,1958.0,306,639.0,645.0,15,510.0,9,0.0,0,497.0,16,8,436
2015-10-17,province,qc,660.0,4,0,633.0,10,446.0,462.0,14,355.0,1,0.0,0,352.0,0,28,4
2015-09-19,nation,ca,1778.0,14,1,1752.0,8,1488.0,1511.0,26,1379.0,10,897.0,296,1010.0,3,29,15
2015-12-12,nation,ca,3836.0,55,8,3480.0,188,2557.0,2476.0,75,2377.0,55,1336.0,218,1608.0,28,143,63
2016-02-20,nation,ca,8653.0,2096,388,7440.0,667,4457.0,4462.0,58,4245.0,257,2813.0,169,3215.0,140,83,2483
2016-04-30,nation,ca,5330.0,273,649,4477.0,259,2805.0,2772.0,50,2498.0,117,1509.0,253,1824.0,75,58,922
2015-10-24,nation,ca,2972.0,23,3,2843.0,18,2350.0,2375.0,39,2196.0,8,1408.0,369,1559.0,8,88,26
2016-07-30,province,bc,147.0,2,0,147.0,2,85.0,85.0,2,85.0,1,85.0,19,85.0,1,7,2
2015-12-05,province,qc,1083.0,5,1,872.0,57,492.0,503.0,23,385.0,3,0.0,0,372.0,5,17,6
2016-02-20,province,bc,649.0,152,121,649.0,44,89.0,89.0,2,89.0,22,89.0,12,89.0,13,2,273
2016-04-23,province,qc,2595.0,177,389,1921.0,92,578.0,592.0,12,431.0,20,0.0,0,420.0,6,6,566
2015-10-24,province,bc,222.0,9,1,222.0,0,84.0,84.0,1,84.0,0,84.0,41,84.0,0,1,10
2016-07-30,nation,ca,1515.0,6,1,1482.0,29,1352.0,1350.0,28,1213.0,4,783.0,160,976.0,13,98,7
2016-07-02,province,on,599.0,0,0,597.0,4,453.0,440.0,9,445.0,3,182.0,37,165.0,3,48,0
2016-02-20,province,on,2181.0,434,91,1856.0,199,1258.0,1228.0,12,1277.0,27,426.0,19,371.0,25,17,525
2015-12-05,province,on,1221.0,8,1,1162.0,35,922.0,833.0,28,940.0,4,307.0,50,200.0,7,48,9
2016-04-23,province,on,1706.0,115,180,1539.0,54,1144.0,1130.0,15,1138.0,35,393.0,50,315.0,39,26,295
2016-02-20,province,qc,3014.0,669,31,2363.0,295,772.0,807.0,17,653.0,23,0.0,0,626.0,28,4,700
2016-04-23,province,bc,304.0,25,15,304.0,8,74.0,74.0,7,74.0,5,74.0,0,74.0,1,2,40
2016-07-23,province,qc,462.0,2,0,416.0,1,350.0,361.0,8,295.0,2,0.0,0,288.0,2,18,2
2015-10-24,province,on,1109.0,9,1,1132.0,7,976.0,984.0,10,954.0,2,503.0,95,364.0,6,32,10
2016-07-02,province,qc,468.0,2,4,454.0,8,342.0,350.0,13,260.0,3,0.0,0,254.0,2,22,6
2015-12-05,province,bc,265.0,4,1,265.0,2,125.0,125.0,1,125.0,1,125.0,24,125.0,0,5,5
2016-02-27,nation,ca,11246.0,3219,478,9023.0,725,5570.0,5593.0,81,5273.0,271,3094.0,161,3538.0,149,73,3697
2016-07-23,province,on,522.0,4,2,519.0,3,414.0,397.0,8,405.0,1,182.0,27,167.0,3,36,6
