time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2021-08-28,territory,yk,0.0,0.0
2021-05-15,nation,ca,0.18,0.02
2020-11-14,province,qc,0.0,0.0
2020-11-21,nation,ca,0.03,0.07
2020-11-21,province,bc,0.0,0.08
2021-05-15,province,bc,0.0,0.0
2020-11-21,province,on,0.0,0.06
2020-11-21,province,qc,0.37,0.0
2020-11-28,nation,ca,0.02,0.05
2020-11-14,province,on,0.17,0.17
2020-09-05,nation,ca,0.04,0.0
2020-11-28,province,bc,0.0,0.11
2021-08-07,province,on,0.14,0.0
2021-05-08,province,qc,3.55,0.0
2020-11-28,province,on,0.0,0.3
2020-11-28,province,qc,0.34,0.31
2021-05-15,province,on,0.0,0.0
2021-05-15,province,qc,2.16,0.0
2020-12-05,nation,ca,0.06,0.04
2021-05-22,province,on,0.12,0.0
2020-10-31,province,bc,0.0,0.16
2020-10-31,province,on,0.0,0.0
2021-08-07,nation,ca,1.52,0.0
2021-05-22,province,qc,2.17,0.0
2020-10-31,province,qc,0.0,0.0
2021-08-07,province,bc,0.18,0.0
2020-11-07,nation,ca,0.04,0.04
2020-11-14,province,bc,0.0,0.0
2020-11-07,province,bc,0.0,0.0
2021-05-22,province,bc,0.0,0.0
2020-11-07,province,on,0.1,0.2
2020-11-07,province,qc,0.0,0.0
2021-05-22,nation,ca,0.25,0.01
2020-11-14,nation,ca,0.06,0.04
2021-08-07,province,qc,12.26,0.0
2021-05-08,province,on,0.0,0.0
2021-01-23,nation,ca,0.05,0.0
2021-01-09,province,bc,0.0,0.0
2021-01-02,province,bc,0.0,0.0
2021-01-02,province,on,0.07,0.0
2020-08-29,province,qc,1.0,0.0
2021-08-14,province,bc,0.0,0.0
2021-01-02,province,qc,0.0,0.0
2021-01-09,nation,ca,0.07,0.0
2021-01-09,province,on,0.0,0.0
2020-12-26,province,qc,0.0,0.0
2021-08-14,province,on,0.21,0.0
2021-01-09,province,qc,0.0,0.0
2021-01-16,nation,ca,0.03,0.03
2021-08-14,province,qc,15.84,0.0
2021-01-16,province,bc,0.0,0.06
2021-01-16,province,on,0.0,0.0
2021-01-02,nation,ca,0.04,0.02
2020-12-26,province,on,0.06,0.0
2020-12-05,province,bc,0.03,0.12
2020-12-12,province,qc,0.0,0.0
2020-12-05,province,on,0.06,0.17
2020-12-05,province,qc,0.0,0.0
2021-05-08,province,bc,0.0,0.0
2020-12-12,nation,ca,0.07,0.02
2020-12-12,province,bc,0.04,0.0
2020-12-12,province,on,0.0,0.06
2021-05-08,nation,ca,0.24,0.0
2020-12-26,province,bc,0.0,0.0
2020-12-19,nation,ca,0.07,0.02
2020-12-19,province,bc,0.0,0.0
2020-12-19,province,on,0.06,0.0
