time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2023-08-26,territory,yk,39.0,7,17.0,0,0,17.0,0,,,0,,0,,0,,0,0,0
2023-04-08,province,bc,3408.0,537,3114.0,12,23,2953.0,53,699.0,699.0,27,699.0,54,672.0,85,672.0,28,48,35
2023-03-25,province,bc,3939.0,582,3444.0,17,30,3284.0,116,734.0,734.0,31,734.0,50,710.0,104,710.0,34,39,47
2023-03-25,province,on,14209.0,1547,7066.0,17,82,7065.0,80,5162.0,5162.0,89,5167.0,309,5167.0,369,3754.0,167,79,99
2023-03-25,province,qc,16710.0,1696,5617.0,82,134,3523.0,83,641.0,655.0,52,643.0,23,,0,642.0,62,17,216
2023-04-01,nation,ca,46607.0,5057,24352.0,156,424,21203.0,348,8443.0,8460.0,212,8462.0,405,7640.0,638,7010.0,283,268,580
2023-04-01,province,bc,3676.0,583,3126.0,7,19,2945.0,84,642.0,642.0,32,642.0,51,620.0,80,620.0,18,44,26
2023-04-01,province,on,13065.0,1299,6826.0,26,92,6826.0,60,5061.0,5061.0,86,5062.0,262,5062.0,361,3636.0,142,96,118
2023-04-01,province,qc,17132.0,1607,6887.0,101,237,4251.0,80,789.0,806.0,59,794.0,28,,0,789.0,48,30,338
2023-04-08,nation,ca,40799.0,4455,22978.0,87,425,20026.0,268,7692.0,7702.0,197,7722.0,356,6941.0,621,6318.0,285,265,512
2023-04-08,province,on,10310.0,957,6082.0,14,101,6082.0,39,4346.0,4346.0,68,4352.0,221,4352.0,331,2976.0,134,80,115
2023-03-18,province,qc,17765.0,1823,6927.0,62,126,4216.0,93,764.0,776.0,55,770.0,28,,0,764.0,49,33,188
2022-09-10,province,qc,25637.0,3179,2520.0,3,0,1737.0,47,646.0,659.0,20,649.0,22,,0,639.0,1,25,3
2023-04-08,province,qc,15657.0,1628,6354.0,48,198,3817.0,73,731.0,742.0,60,732.0,29,,0,731.0,44,24,247
2023-04-15,nation,ca,41872.0,4761,23421.0,141,452,20156.0,284,8023.0,8039.0,244,8035.0,329,7171.0,657,6632.0,236,307,593
2023-04-15,province,bc,3736.0,684,3156.0,10,14,2910.0,56,678.0,678.0,38,678.0,50,658.0,106,658.0,27,43,24
2023-04-15,province,on,10477.0,993,6142.0,20,106,6142.0,58,4592.0,4592.0,94,4591.0,200,4591.0,330,3209.0,97,99,127
2023-04-15,province,qc,16447.0,1730,6913.0,88,229,4170.0,74,825.0,841.0,60,828.0,24,,0,825.0,43,33,317
2023-04-22,nation,ca,40231.0,4401,22666.0,116,419,19854.0,260,7629.0,7670.0,214,7677.0,302,6819.0,591,6369.0,232,297,535
2023-04-22,province,bc,3660.0,682,3293.0,7,24,3177.0,60,652.0,674.0,25,674.0,37,649.0,87,649.0,20,47,31
2022-10-01,nation,ca,92675.0,13392,14943.0,102,4,13629.0,288,4878.0,4894.0,108,4895.0,70,4150.0,950,4034.0,24,151,106
2023-03-18,province,on,15074.0,1794,6957.0,24,60,6957.0,90,4991.0,4991.0,81,4994.0,235,4994.0,360,3638.0,129,87,83
2023-02-11,province,qc,19683.0,2281,7619.0,76,34,4604.0,177,816.0,830.0,76,817.0,30,,0,816.0,54,26,110
