time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2023-08-26,territory,yk,39.0,7.0,17.0,0.0,0.0,17.0,0.0,,,,,,,,,,0.0,0.0,,,17.94871794871795,0.0,,0.0,,,0.0,0.0
2023-05-27,nation,ca,27278.0,2517.7594000000004,16495.0,84.12450000000001,186.3935,14441.0,57.764,5885.0,5923.0,193.08979999999997,5907.0,85.0608,5169.0,552.0491999999999,4786.0,102.89899999999999,254.82049999999998,270.51800000000003,2.15,1.44,9.23,0.4,4.33,1.6400000000000001,3.26,10.68,0.51,1.13
2023-05-27,province,qc,10150.0,882.0349999999999,4895.0,31.817500000000003,77.8305,2991.0,20.0397,712.0,749.0,50.0332,713.0,13.9748,,,712.0,5.9807999999999995,23.9944,109.648,0.84,1.96,8.69,0.67,3.37,2.2399999999999998,6.68,,0.65,1.59
2022-10-01,province,on,27909.0,3787.2513000000004,5624.0,37.1184,1.1248,5623.0,75.91050000000001,1999.0,2001.0,27.013500000000004,2001.0,9.0045,2001.0,398.99940000000004,1170.0,3.978,71.96400000000001,38.2432,0.34,0.45,13.57,1.35,3.6,0.68,1.35,19.94,0.66,0.02
2023-05-27,province,on,6566.0,600.789,4117.0,11.1159,53.1093,4116.0,11.1132,3131.0,3131.0,76.08330000000001,3136.0,43.903999999999996,3137.0,276.9971,2036.0,36.0372,106.1409,64.2252,1.77,1.4,9.15,0.27,3.39,1.56,2.43,8.83,0.27,1.29
2023-01-14,region,prairies,13853.0,1472.5739,7952.0,146.3168,0.7952,7108.0,987.3012,2351.0,2349.0,38.9934,2361.0,109.0782,2327.0,113.0922,2368.0,59.910399999999996,74.9969,147.112,2.53,4.62,10.63,13.89,3.19,1.8499999999999999,1.66,4.86,1.84,0.01
2023-02-11,province,on,16025.0,1983.8950000000002,7451.0,32.784400000000005,23.0981,7451.0,239.17709999999997,5274.0,5274.0,60.123599999999996,5291.0,132.80409999999998,5291.0,433.86199999999997,3877.0,70.17370000000001,94.93200000000002,55.88250000000001,1.81,2.51,12.38,3.21,1.8,0.7500000000000001,1.14,8.2,0.44,0.31
2022-10-01,province,qc,29662.0,3921.3164,2873.0,6.0333,2.873,2029.0,156.03010000000003,728.0,742.0,31.0156,729.0,33.0237,,,716.0,6.014399999999999,35.016799999999996,8.9063,0.84,4.53,13.22,7.69,4.81,0.31,4.18,,0.21,0.1
2023-05-27,province,bc,2481.0,274.8948,2039.0,14.0691,7.952100000000001,2035.0,5.0875,617.0,617.0,32.0223,617.0,20.978,596.0,96.01559999999999,596.0,11.979599999999998,39.98160000000001,22.0212,2.01,3.4,11.08,0.25,6.48,1.08,5.19,16.11,0.69,0.39
2023-01-14,region,atlantic,9630.0,1643.841,4291.0,105.98770000000002,0.8582000000000001,4078.0,302.1798,526.0,526.0,17.9892,526.0,15.9904,526.0,34.979,526.0,52.0214,19.988,106.84590000000001,9.89,3.04,17.07,7.41,3.8,2.49,3.42,6.65,2.47,0.02
2023-01-14,region,territories,340.0,29.001999999999995,162.0,9.0072,0.0,162.0,6.9984,,,,,,,,,,,9.0072,,,8.53,4.32,,5.56,,,5.56,0.0
2022-10-01,region,atlantic,8311.0,1925.6587000000002,688.0,1.9951999999999999,1.032,556.0,17.0136,286.0,286.0,8.008,286.0,5.005000000000001,286.0,78.9932,286.0,1.001,5.005000000000001,3.0271999999999997,0.35,1.75,23.17,3.06,1.75,0.43999999999999995,2.8,27.62,0.29,0.15
2023-05-20,region,territories,156.0,9.001199999999999,86.0,2.0038,14.9984,86.0,4.9966,,,,,,,,,,,17.002200000000002,,,5.77,5.81,,19.770000000000003,,,2.33,17.44
2023-05-20,region,prairies,5833.0,445.05789999999996,3909.0,44.171699999999994,44.171699999999994,3741.0,7.8561,1084.0,1084.0,23.9564,1092.0,5.0232,1084.0,168.02,1092.0,23.041199999999996,40.9752,88.34339999999999,2.11,0.46,7.63,0.21,3.78,2.26,2.21,15.5,1.13,1.13
2023-01-14,province,qc,22640.0,2728.1200000000003,8879.0,308.10130000000004,7.1032,5279.0,254.97570000000002,828.0,838.0,52.0398,831.0,23.0187,,,829.0,29.015000000000004,17.9676,315.20450000000005,3.5,2.77,12.05,4.83,2.17,3.5500000000000003,6.21,,3.47,0.08
2022-10-01,region,prairies,14884.0,2612.1420000000003,3234.0,20.0508,0.0,2996.0,21.8708,1327.0,1327.0,27.999699999999997,1341.0,13.946399999999999,1310.0,291.99899999999997,1341.0,10.0575,24.018700000000003,20.0508,0.75,1.04,17.55,0.73,1.81,0.62,2.11,22.29,0.62,0.0
2023-02-11,province,qc,19683.0,2281.2597,7619.0,76.19,34.285500000000006,4604.0,176.7936,816.0,830.0,76.028,817.0,29.9839,,,816.0,54.0192,26.030399999999997,110.47550000000001,6.62,3.67,11.59,3.84,3.19,1.4500000000000002,9.16,,1.0,0.45
2023-05-20,region,atlantic,2463.0,384.9669,1623.0,10.0626,2.9213999999999998,1617.0,17.948700000000002,367.0,367.0,9.9824,367.0,0.9909,367.0,44.0033,367.0,24.9927,20.9924,12.984,6.81,0.27,15.63,1.11,5.72,0.8,2.72,11.99,0.62,0.18
2023-05-27,region,atlantic,2311.0,326.0821,1568.0,2.9792,2.0383999999999998,1560.0,14.040000000000001,378.0,379.0,12.0143,379.0,4.0174,379.0,38.0137,379.0,33.9963,32.9994,5.0176,8.97,1.06,14.11,0.9,8.73,0.31999999999999995,3.17,10.03,0.19,0.13
2022-10-01,province,bc,11511.0,1110.8115,2411.0,32.066300000000005,0.0,2312.0,15.028,538.0,538.0,13.988000000000001,538.0,8.9846,521.0,165.00070000000002,521.0,3.0218,15.010200000000001,32.066300000000005,0.58,1.67,9.65,0.65,2.79,1.3300000000000003,2.6,31.67,1.33,0.0
2023-05-20,province,qc,11868.0,1007.5932,5277.0,50.131499999999996,94.986,3253.0,29.927599999999998,723.0,746.0,37.9714,727.0,15.994000000000002,,,723.0,14.026200000000001,34.9932,145.1175,1.94,2.2,8.49,0.92,4.84,2.75,5.09,,0.95,1.8
2023-01-21,province,bc,4637.0,531.8639000000001,3936.0,42.1152,1.968,3742.0,440.0592,836.0,836.0,31.0156,836.0,29.0092,807.0,112.0116,807.0,55.0374,34.0252,44.083200000000005,6.82,3.47,11.47,11.76,4.07,1.12,3.71,13.88,1.07,0.05
2023-06-03,region,prairies,5368.0,326.91119999999995,3671.0,22.026,23.1273,3524.0,14.096,966.0,966.0,28.014,986.0,6.0146,955.0,163.0185,986.0,26.0304,53.03340000000001,45.1533,2.64,0.61,6.09,0.4,5.49,1.23,2.9,17.07,0.6,0.63
2022-09-24,region,atlantic,9345.0,2255.883,788.0,1.0244,0.0,707.0,7.9891,334.0,334.0,4.008,334.0,3.0060000000000002,334.0,74.0144,334.0,0.0,6.0120000000000005,1.0244,0.0,0.9,24.14,1.13,1.8,0.13,1.2,22.16,0.13,0.0
2023-01-21,province,on,18101.0,2593.8733,8462.0,66.8498,4.231,8462.0,434.1006,5818.0,5818.0,76.2158,5849.0,90.0746,5849.0,342.1665,4464.0,129.9024,127.99600000000001,71.0808,2.91,1.54,14.33,5.13,2.2,0.84,1.31,5.85,0.79,0.05
2023-06-03,region,atlantic,2143.0,259.9459,1504.0,0.0,1.0528000000000002,1500.0,15.0,305.0,305.0,16.0125,305.0,7.015,305.0,27.999,305.0,16.9885,27.999,1.0528000000000002,5.57,2.3,12.13,1.0,9.18,0.07,5.25,9.18,0.0,0.07
2022-09-24,region,prairies,15042.0,2534.577,3144.0,12.890399999999998,0.9431999999999999,2921.0,9.9314,1274.0,1275.0,17.9775,1285.0,19.018,1255.0,270.9545,1286.0,6.044199999999999,22.0402,13.833599999999997,0.47,1.48,16.85,0.34,1.73,0.43999999999999995,1.41,21.59,0.41,0.03
2023-06-03,province,qc,9842.0,849.3646,4581.0,16.9497,76.0446,2876.0,31.0608,739.0,771.0,39.0126,741.0,10.966800000000001,,,739.0,9.015799999999999,28.008100000000002,92.99430000000001,1.22,1.48,8.63,1.08,3.79,2.0300000000000002,5.06,,0.37,1.66
2023-06-03,province,on,6854.0,588.7586,4283.0,17.132,50.967699999999994,4283.0,6.8528,3325.0,3325.0,79.13499999999999,3327.0,39.924,3327.0,284.12579999999997,2258.0,51.934,146.96499999999997,68.0997,2.3,1.2,8.59,0.16,4.42,1.59,2.38,8.54,0.4,1.19
2023-02-11,nation,ca,56255.0,6688.7195,27982.0,190.2776,95.1388,24263.0,1404.8277,9047.0,9060.0,193.88400000000001,9062.0,338.0126,8243.0,821.8271000000001,7619.0,201.1416,241.55489999999998,285.4164,2.64,3.73,11.89,5.79,2.67,1.02,2.14,9.97,0.68,0.34
2023-05-27,region,prairies,5577.0,421.0635,3752.0,24.012800000000002,36.0192,3615.0,2.8920000000000003,1047.0,1047.0,23.034000000000002,1062.0,2.0178,1044.0,136.97279999999998,1063.0,14.988299999999999,52.03589999999999,60.032,1.41,0.19,7.55,0.08,4.97,1.6,2.2,13.12,0.64,0.96
2022-09-24,region,territories,460.0,47.978,134.0,1.9966,0.0,134.0,1.9966,,,,,,,,,,,1.9966,,,10.43,1.49,,1.49,,,1.49,0.0
