epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,flu_positive_tests
202423,2024-06-08,2024-06-14,lab,nl,669,95,581,0,0,2,2,2,581,3,581,1,1,30,1,0,581,2,581,9,581,85,581,9,NA
202423,2024-06-08,2024-06-14,lab,pe,104,14,47,0,0,0,0,0,47,0,9,0,0,1,0,0,9,0,9,0,9,3,9,0,NA
202423,2024-06-08,2024-06-14,lab,ns,1030,118,958,0,0,7,7,4,810,1,37,0,0,8,0,0,37,0,37,0,37,2,37,0,NA
202423,2024-06-08,2024-06-14,lab,nb,762,39,589,0,0,0,0,5,589,1,102,0,1,19,1,0,102,6,102,3,102,23,102,0,NA
202423,2024-06-08,2024-06-14,region,atlantic,2565,266,2175,0,0,9,9,11,2027,5,729,1,2,58,2,0,729,8,729,12,729,113,729,9,NA
202423,2024-06-08,2024-06-14,lab,région nord est,868,77,871,0,0,2,2,8,514,4,123,0,0,14,0,0,123,10,119,3,NA,NA,123,1,NA
202423,2024-06-08,2024-06-14,lab,québec chaudière appalaches,1163,134,1061,0,0,3,3,4,1034,7,434,0,0,9,1,0,438,13,434,17,NA,NA,326,7,NA
202423,2024-06-08,2024-06-14,lab,centre du québec,1360,122,1210,0,0,4,4,3,592,11,43,0,0,3,0,0,43,1,43,1,NA,NA,43,2,NA
202423,2024-06-08,2024-06-14,lab,montréal laval,1114,88,1079,0,0,9,9,7,909,6,744,0,5,37,0,0,744,14,744,26,NA,NA,744,8,NA
202423,2024-06-08,2024-06-14,lab,ouest du québec,763,52,475,0,0,0,0,2,475,4,18,0,0,1,0,0,18,1,18,1,NA,NA,18,1,NA
202423,2024-06-08,2024-06-14,lab,montérégie,657,41,900,0,0,3,3,5,900,9,7,0,0,1,0,0,7,0,7,0,NA,NA,7,0,NA
202423,2024-06-08,2024-06-14,region,qc,5925,514,5596,0,0,21,21,29,4424,41,1369,0,5,65,1,0,1373,39,1365,48,NA,NA,1261,19,NA
202423,2024-06-08,2024-06-14,lab,phol ottawa,97,16,98,0,0,0,0,0,98,0,79,0,0,0,0,10,79,0,79,4,79,6,79,0,NA
202423,2024-06-08,2024-06-14,lab,eorla,746,42,365,0,0,2,2,0,365,3,39,0,0,1,0,0,39,0,39,2,39,7,39,0,NA
202423,2024-06-08,2024-06-14,lab,phol kingston,129,27,101,0,0,0,0,0,95,0,69,0,0,0,0,5,69,0,69,4,69,12,69,1,NA
202423,2024-06-08,2024-06-14,lab,uhn mount sinai hospital,894,34,587,1,0,1,2,1,587,2,89,0,0,3,1,0,89,0,89,1,89,5,89,5,NA
202423,2024-06-08,2024-06-14,lab,phol toronto,252,52,606,1,2,0,1,0,603,0,586,0,0,0,0,61,586,6,586,23,586,72,586,15,NA
202423,2024-06-08,2024-06-14,lab,sick kids hospital toronto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
