time_value,geo_type,geo_value,sarscov2_pct_positive,flu_pct_positive,rsv_pct_positive
2024-08-24,region,territories,7.14,3.33,0.0
2024-08-24,province,pe,,,
2024-08-24,nation,ca,18.05,0.34,0.35
2024-08-24,province,ab,,,
2024-08-24,province,mb,15.34,,
2024-08-24,province,nb,12.63,,
2024-08-24,province,nl,11.38,,
2024-08-24,province,nt,9.68,,
2024-08-24,province,nu,,,
2024-08-24,province,ns,22.92,,
2024-08-24,province,sk,12.15,,
2024-08-24,province,yt,5.13,,
2024-08-24,region,atlantic,16.56,0.1,0.05
2024-08-24,region,bc,17.92,1.02,0.16
2024-08-24,region,on,15.9,0.19,0.21
2024-08-24,region,prairies,13.74,0.49,0.16
2024-08-24,region,qc,21.1,0.16,0.77
2024-08-17,province,pe,,,
2024-08-17,nation,ca,15.64,0.31,0.38
2024-08-17,province,ab,9.48,,
2024-08-17,province,mb,14.51,,
2024-08-17,province,nb,11.31,,
2024-08-17,province,ns,16.73,,
2024-08-17,province,nt,16.67,,
2024-08-17,province,nu,,,
2024-08-17,province,nl,10.84,,
2024-08-17,province,sk,13.36,,
2024-08-17,province,yt,9.52,,
2024-08-17,region,atlantic,13.59,0.0,0.23
2024-08-17,region,bc,16.78,1.02,0.08
2024-08-17,region,on,13.1,0.23,0.21
2024-08-17,region,prairies,11.29,0.25,0.05
2024-08-17,region,qc,20.44,0.2,0.9
2024-08-17,region,territories,12.5,1.54,0.0
2024-08-10,nation,ca,14.79,0.41,0.46
2024-08-10,province,ab,10.38,,
2024-08-10,province,mb,16.8,,
2024-08-10,province,nb,10.1,,
2024-08-10,province,nl,14.85,,
2024-08-10,province,ns,16.27,,
2024-08-10,province,nt,7.41,,
2024-08-10,province,nu,3.19,,
2024-08-10,province,pe,20.83,,
2024-08-10,province,sk,10.75,,
2024-08-10,region,atlantic,14.15,0.05,0.27
2024-08-10,region,bc,15.95,0.96,0.12
2024-08-10,region,on,12.86,0.35,0.18
2024-08-10,region,prairies,11.71,0.21,0.35
2024-08-10,region,qc,18.09,0.37,1.03
2024-08-10,region,territories,7.32,2.14,0.0
2024-08-10,province,yt,16.28,,
2024-08-03,province,nb,11.65,,
2024-08-03,province,nt,22.73,,
2024-08-03,province,ns,15.64,,
2024-08-03,province,nl,14.29,,
2024-08-03,province,pe,8.55,,
2024-08-03,province,mb,14.31,,
2024-08-03,province,ab,11.28,,
2024-08-03,nation,ca,15.76,0.36,0.37
2024-08-03,province,nu,5.26,,
2024-08-03,region,on,13.51,0.32,0.18
2024-08-03,province,sk,10.29,,
2024-08-03,region,atlantic,13.59,0.11,0.17
2024-08-03,region,bc,18.14,0.56,0.16
2024-08-03,province,yt,15.79,,
2024-08-03,region,prairies,11.69,0.44,0.12
2024-08-03,region,qc,19.66,0.3,0.9
2024-08-03,region,territories,11.03,2.94,0.98
2024-07-27,province,nu,6.94,,
2024-07-27,nation,ca,14.18,0.4,0.33
2024-07-27,province,ab,10.86,,
2024-07-27,province,mb,14.69,,
2024-07-27,province,nb,10.41,,
2024-07-27,province,nl,17.44,,
2024-07-27,province,ns,11.84,,
2024-07-27,province,nt,21.05,,
2024-07-27,province,pe,24.0,,
2024-07-27,region,territories,11.9,1.11,0.0
2024-07-27,province,yt,17.14,,
2024-07-27,region,atlantic,12.96,0.06,0.36
2024-07-27,region,bc,15.1,0.88,0.04
2024-07-27,region,on,12.21,0.33,0.2
2024-07-27,region,prairies,11.24,0.77,0.12
2024-07-27,region,qc,17.58,0.17,0.76
2024-07-27,province,sk,8.95,,
2024-07-20,province,nb,9.47,,
2024-07-20,province,nt,18.52,,
2024-07-20,province,ns,12.19,,
2024-07-20,province,nl,16.61,,
2024-07-20,province,pe,11.16,,
2024-07-20,province,mb,14.86,,
2024-07-20,province,ab,11.19,,
2024-07-20,nation,ca,13.96,0.6,0.57
2024-07-20,province,nu,2.63,,
2024-07-20,region,territories,7.86,1.8,0.0
2024-07-20,province,sk,11.48,,
2024-07-20,province,yt,10.81,,
2024-07-20,region,atlantic,12.19,0.16,0.7
2024-07-20,region,bc,16.98,1.63,0.16
2024-07-20,region,on,10.99,0.36,0.27
2024-07-20,region,prairies,11.9,0.92,0.4
2024-07-20,region,qc,17.17,0.28,1.21
2024-07-13,province,pe,11.86,,
2024-07-13,nation,ca,12.87,0.78,0.46
2024-07-13,province,ab,9.25,,
2024-07-13,province,mb,8.0,,
2024-07-13,province,nb,8.09,,
2024-07-13,province,nl,16.2,,
2024-07-13,province,ns,15.34,,
2024-07-13,province,nt,16.67,,
2024-07-13,province,nu,2.7,,
2024-07-13,region,on,11.24,0.58,0.29
2024-07-13,province,sk,12.24,,
2024-07-13,region,atlantic,12.89,0.67,0.23
2024-07-13,region,bc,18.38,2.04,0.27
2024-07-13,province,yt,13.79,,
2024-07-13,region,prairies,9.7,0.58,0.16
2024-07-13,region,qc,14.54,0.38,1.08
2024-07-13,region,territories,8.27,0.0,0.0
2024-07-06,province,pe,18.18,,
2024-07-06,province,ab,10.88,,
2024-07-06,province,mb,8.19,,
2024-07-06,province,nb,7.77,,
2024-07-06,province,nl,15.44,,
2024-07-06,province,ns,9.63,,
2024-07-06,province,nt,6.9,,
2024-07-06,province,nu,6.82,,
2024-07-06,nation,ca,12.19,0.96,0.44
2024-07-06,province,sk,13.61,,
2024-07-06,region,prairies,11.08,1.35,0.33
2024-07-06,region,territories,9.55,2.56,0.85
2024-07-06,region,qc,13.63,0.37,0.81
2024-07-06,province,yt,17.5,,
2024-07-06,region,on,9.44,0.85,0.22
2024-07-06,region,bc,17.23,2.14,0.28
2024-07-06,region,atlantic,10.89,0.32,0.49
2024-06-29,province,pe,27.5,,
2024-06-29,province,ab,12.08,,
2024-06-29,province,mb,10.34,,
2024-06-29,province,nb,6.48,,
2024-06-29,province,nl,14.74,,
2024-06-29,province,ns,9.12,,
2024-06-29,province,nt,5.26,,
2024-06-29,province,nu,5.88,,
2024-06-29,nation,ca,11.46,1.14,0.48
2024-06-29,province,sk,13.55,,
2024-06-29,province,yt,10.71,,
2024-06-29,region,atlantic,10.29,0.4,0.24
2024-06-29,region,bc,15.93,2.9,0.31
2024-06-29,region,on,8.84,0.71,0.22
2024-06-29,region,prairies,12.09,0.98,0.36
2024-06-29,region,qc,11.52,0.71,1.09
2024-06-29,region,territories,7.22,5.19,1.3
2024-06-22,nation,ca,10.58,1.17,0.41
2024-06-22,province,ab,11.33,,
2024-06-22,province,mb,7.42,,
2024-06-22,province,nb,4.3,,
2024-06-22,province,nl,15.09,,
2024-06-22,province,ns,7.76,,
2024-06-22,province,nt,13.04,,
2024-06-22,province,nu,3.54,,
2024-06-22,province,pe,6.02,,
2024-06-22,province,sk,10.74,,
2024-06-22,region,atlantic,8.35,0.92,0.12
2024-06-22,region,bc,14.61,3.47,0.22
2024-06-22,region,on,8.08,0.32,0.11
2024-06-22,region,prairies,10.54,0.75,0.28
2024-06-22,region,qc,11.43,0.66,1.11
2024-06-22,region,territories,10.34,6.55,0.0
2024-06-22,province,yt,20.9,,
2024-06-15,province,pe,13.7,,
2024-06-15,province,ab,10.94,,
2024-06-15,province,mb,11.79,,
2024-06-15,province,nb,4.3,,
2024-06-15,province,nl,15.96,,
2024-06-15,province,ns,8.35,,
2024-06-15,province,nt,15.79,,
2024-06-15,province,nu,7.44,,
2024-06-15,nation,ca,10.03,0.96,0.56
2024-06-15,province,sk,9.52,,
2024-06-15,region,prairies,10.8,1.45,0.73
2024-06-15,region,territories,16.59,1.81,0.0
2024-06-15,region,qc,9.16,0.76,1.02
2024-06-15,province,yt,33.85,,
2024-06-15,region,on,7.64,0.45,0.25
2024-06-15,region,bc,14.68,1.81,0.17
2024-06-15,region,atlantic,9.2,0.73,0.78
2024-06-08,province,pe,13.46,,
2024-06-08,province,ab,11.87,,
2024-06-08,province,mb,8.9,,
2024-06-08,province,nb,5.12,,
2024-06-08,province,nl,14.2,,
2024-06-08,province,ns,11.46,,
2024-06-08,province,nt,0.0,,
2024-06-08,province,nu,7.06,,
2024-06-08,nation,ca,9.71,1.15,0.43
2024-06-08,province,sk,7.6,,
2024-06-08,province,yt,19.44,,
2024-06-08,region,atlantic,10.37,0.92,0.25
2024-06-08,region,bc,14.93,1.96,0.14
2024-06-08,region,on,6.9,0.55,0.22
2024-06-08,region,prairies,10.57,1.83,0.34
2024-06-08,region,qc,8.69,0.89,0.93
2024-06-08,region,territories,8.56,3.41,1.14
2024-06-01,province,pe,6.19,,
2024-06-01,nation,ca,8.46,1.48,0.65
2024-06-01,province,mb,8.48,,
2024-06-01,province,nb,3.81,,
2024-06-01,province,nl,12.14,,
2024-06-01,province,ns,7.05,,
2024-06-01,province,nt,4.76,,
2024-06-01,province,nu,4.52,,
