time_value,geo_type,geo_value,flu_pct_positive,rsv_pct_positive,sarscov2_pct_positive
2025-08-23,region,territories,0.0,0.0,4.76
2025-08-23,province,pe,,,20.0
2025-08-23,nation,ca,0.43,0.2,7.3
2025-08-23,province,ab,,,5.59
2025-08-23,province,mb,,,7.3
2025-08-23,province,nb,,,6.09
2025-08-23,province,nl,,,3.27
2025-08-23,province,nt,,,0.0
2025-08-23,province,nu,,,3.33
2025-08-23,province,ns,,,7.41
2025-08-23,province,sk,,,7.16
2025-08-23,province,yt,,,10.71
2025-08-23,region,atlantic,0.39,0.0,6.3
2025-08-23,region,bc,1.12,0.56,10.24
2025-08-23,region,on,0.26,0.09,5.9
2025-08-23,region,prairies,0.38,0.13,6.08
2025-08-23,region,qc,0.24,0.19,8.56
2025-08-16,province,pe,,,12.5
2025-08-16,nation,ca,0.35,0.17,5.9
2025-08-16,province,ab,,,5.54
2025-08-16,province,mb,,,4.65
2025-08-16,province,nb,,,4.57
2025-08-16,province,ns,,,6.94
2025-08-16,province,nt,,,3.85
2025-08-16,province,nu,,,1.83
2025-08-16,province,nl,,,4.64
2025-08-16,province,sk,,,3.18
2025-08-16,province,yt,,,0.0
2025-08-16,region,atlantic,0.83,0.0,5.66
2025-08-16,region,bc,0.81,0.3,8.19
2025-08-16,region,on,0.23,0.15,5.4
2025-08-16,region,prairies,0.09,0.18,5.14
2025-08-16,region,qc,0.25,0.11,6.32
2025-08-16,region,territories,0.0,1.32,1.88
2025-08-09,nation,ca,0.33,0.11,5.4
2025-08-09,province,ab,,,5.4
2025-08-09,province,mb,,,2.12
2025-08-09,province,nb,,,3.41
2025-08-09,province,nl,,,3.14
2025-08-09,province,ns,,,6.04
2025-08-09,province,nt,,,5.71
2025-08-09,province,nu,,,0.0
2025-08-09,province,pe,,,5.56
2025-08-09,province,sk,,,5.03
2025-08-09,region,atlantic,0.2,0.1,4.53
2025-08-09,region,bc,0.99,0.26,7.28
2025-08-09,region,on,0.05,0.08,4.19
2025-08-09,region,prairies,0.17,0.04,4.96
2025-08-09,region,qc,0.33,0.12,6.68
2025-08-09,region,territories,0.56,0.0,1.66
2025-08-09,province,yt,,,5.0
2025-08-02,province,nb,,,1.2
2025-08-02,province,nt,,,4.35
2025-08-02,province,ns,,,3.71
2025-08-02,province,nl,,,1.67
2025-08-02,province,pe,,,15.38
2025-08-02,province,mb,,,4.2
2025-08-02,province,ab,,,5.23
2025-08-02,nation,ca,0.34,0.15,4.9
2025-08-02,province,nu,,,5.1
2025-08-02,region,on,0.19,0.05,3.8
2025-08-02,province,sk,,,3.34
2025-08-02,region,atlantic,0.09,0.09,2.59
2025-08-02,region,bc,0.84,0.38,8.57
2025-08-02,province,yt,,,6.06
2025-08-02,region,prairies,0.37,0.17,4.83
2025-08-02,region,qc,0.24,0.09,4.92
2025-08-02,region,territories,0.0,0.71,5.19
2025-07-26,province,nu,,,7.14
2025-07-26,nation,ca,0.45,0.2,3.98
2025-07-26,province,ab,,,3.85
2025-07-26,province,mb,,,1.79
2025-07-26,province,nb,,,1.7
2025-07-26,province,nl,,,0.96
2025-07-26,province,ns,,,1.36
2025-07-26,province,nt,,,0.0
2025-07-26,province,pe,,,0.0
2025-07-26,region,territories,0.65,5.23,5.49
2025-07-26,province,yt,,,0.0
2025-07-26,region,atlantic,0.09,0.09,1.4
2025-07-26,region,bc,1.18,0.12,8.65
2025-07-26,region,on,0.33,0.15,2.31
2025-07-26,region,prairies,0.52,0.21,3.48
2025-07-26,region,qc,0.13,0.09,4.5
2025-07-26,province,sk,,,3.08
2025-07-19,province,nb,,,2.88
2025-07-19,province,nt,,,0.0
2025-07-19,province,ns,,,2.13
2025-07-19,province,nl,,,1.74
2025-07-19,province,pe,,,0.0
