location,horizon,reference_date,target_end_date,target,output_type,output_type_id,value
ab,-1,30-11-2024,23-11-2024,pct wk covid lab det,quantile,0.025,9.3
ab,-1,30-11-2024,23-11-2024,pct wk covid lab det,quantile,0.1,10.05
ab,-1,30-11-2024,23-11-2024,pct wk covid lab det,quantile,0.25,10.9
ab,-1,30-11-2024,23-11-2024,pct wk covid lab det,quantile,0.5,11.55
ab,-1,30-11-2024,23-11-2024,pct wk covid lab det,quantile,0.75,12.05
ab,-1,30-11-2024,23-11-2024,pct wk covid lab det,quantile,0.9,12.6
ab,-1,30-11-2024,23-11-2024,pct wk covid lab det,quantile,0.975,13.15
ab,-1,30-11-2024,23-11-2024,pct wk flu lab det,quantile,0.025,1.3
ab,-1,30-11-2024,23-11-2024,pct wk flu lab det,quantile,0.1,4
ab,-1,30-11-2024,23-11-2024,pct wk flu lab det,quantile,0.25,7.65
ab,-1,30-11-2024,23-11-2024,pct wk flu lab det,quantile,0.5,8.65
ab,-1,30-11-2024,23-11-2024,pct wk flu lab det,quantile,0.75,9.9
ab,-1,30-11-2024,23-11-2024,pct wk flu lab det,quantile,0.9,13
ab,-1,30-11-2024,23-11-2024,pct wk flu lab det,quantile,0.975,15.2
ab,-1,30-11-2024,23-11-2024,pct wk rsv lab det,quantile,0.025,1.55
ab,-1,30-11-2024,23-11-2024,pct wk rsv lab det,quantile,0.1,2.15
ab,-1,30-11-2024,23-11-2024,pct wk rsv lab det,quantile,0.25,2.8
ab,-1,30-11-2024,23-11-2024,pct wk rsv lab det,quantile,0.5,3.7
ab,-1,30-11-2024,23-11-2024,pct wk rsv lab det,quantile,0.75,5
ab,-1,30-11-2024,23-11-2024,pct wk rsv lab det,quantile,0.9,7.85
ab,-1,30-11-2024,23-11-2024,pct wk rsv lab det,quantile,0.975,10.15
ab,-1,07-12-2024,30-11-2024,pct wk covid lab det,quantile,0.025,6.15
ab,-1,07-12-2024,30-11-2024,pct wk covid lab det,quantile,0.1,7.1
ab,-1,07-12-2024,30-11-2024,pct wk covid lab det,quantile,0.25,8.3
ab,-1,07-12-2024,30-11-2024,pct wk covid lab det,quantile,0.5,10.1
ab,-1,07-12-2024,30-11-2024,pct wk covid lab det,quantile,0.75,11.9
ab,-1,07-12-2024,30-11-2024,pct wk covid lab det,quantile,0.9,13.15
ab,-1,07-12-2024,30-11-2024,pct wk covid lab det,quantile,0.975,14.05
ab,-1,07-12-2024,30-11-2024,pct wk flu lab det,quantile,0.025,1.3
ab,-1,07-12-2024,30-11-2024,pct wk flu lab det,quantile,0.1,2.9
ab,-1,07-12-2024,30-11-2024,pct wk flu lab det,quantile,0.25,5.8
ab,-1,07-12-2024,30-11-2024,pct wk flu lab det,quantile,0.5,10.5
ab,-1,07-12-2024,30-11-2024,pct wk flu lab det,quantile,0.75,15.15
ab,-1,07-12-2024,30-11-2024,pct wk flu lab det,quantile,0.9,18.1
ab,-1,07-12-2024,30-11-2024,pct wk flu lab det,quantile,0.975,19.75
ab,-1,07-12-2024,30-11-2024,pct wk rsv lab det,quantile,0.025,2.45
