location,horizon,reference_date,target_end_date,target,output_type,output_type_id,value
ab,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.025,4.1325
ab,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.1,4.9475
ab,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.25,5.69
ab,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.5,6.8375
ab,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.75,8.31
ab,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.9,8.98
ab,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.975,9.895
ab,-1,11-01-2025,04-01-2025,pct wk flu lab det,quantile,0.025,7.325
ab,-1,11-01-2025,04-01-2025,pct wk flu lab det,quantile,0.1,8.84
ab,-1,11-01-2025,04-01-2025,pct wk flu lab det,quantile,0.25,10.875
ab,-1,11-01-2025,04-01-2025,pct wk flu lab det,quantile,0.5,14.9225
ab,-1,11-01-2025,04-01-2025,pct wk flu lab det,quantile,0.75,19.1425
ab,-1,11-01-2025,04-01-2025,pct wk flu lab det,quantile,0.9,21.4525
ab,-1,11-01-2025,04-01-2025,pct wk flu lab det,quantile,0.975,23.2675
ab,-1,11-01-2025,04-01-2025,pct wk rsv lab det,quantile,0.025,6.75
ab,-1,11-01-2025,04-01-2025,pct wk rsv lab det,quantile,0.1,7.91
ab,-1,11-01-2025,04-01-2025,pct wk rsv lab det,quantile,0.25,9.395
ab,-1,11-01-2025,04-01-2025,pct wk rsv lab det,quantile,0.5,11.92
ab,-1,11-01-2025,04-01-2025,pct wk rsv lab det,quantile,0.75,14.47
ab,-1,11-01-2025,04-01-2025,pct wk rsv lab det,quantile,0.9,15.905
ab,-1,11-01-2025,04-01-2025,pct wk rsv lab det,quantile,0.975,16.99
ab,0,11-01-2025,11-01-2025,pct wk covid lab det,quantile,0.025,4.1225
ab,0,11-01-2025,11-01-2025,pct wk covid lab det,quantile,0.1,4.67
ab,0,11-01-2025,11-01-2025,pct wk covid lab det,quantile,0.25,5.61
ab,0,11-01-2025,11-01-2025,pct wk covid lab det,quantile,0.5,6.765
ab,0,11-01-2025,11-01-2025,pct wk covid lab det,quantile,0.75,8.2475
ab,0,11-01-2025,11-01-2025,pct wk covid lab det,quantile,0.9,9.1875
ab,0,11-01-2025,11-01-2025,pct wk covid lab det,quantile,0.975,10.335
ab,0,11-01-2025,11-01-2025,pct wk flu lab det,quantile,0.025,7.225
ab,0,11-01-2025,11-01-2025,pct wk flu lab det,quantile,0.1,9.2225
ab,0,11-01-2025,11-01-2025,pct wk flu lab det,quantile,0.25,11.63
ab,0,11-01-2025,11-01-2025,pct wk flu lab det,quantile,0.5,16.435
ab,0,11-01-2025,11-01-2025,pct wk flu lab det,quantile,0.75,20.9925
ab,0,11-01-2025,11-01-2025,pct wk flu lab det,quantile,0.9,24.6975
ab,0,11-01-2025,11-01-2025,pct wk flu lab det,quantile,0.975,29.4725
ab,0,11-01-2025,11-01-2025,pct wk rsv lab det,quantile,0.025,5.45
ab,0,11-01-2025,11-01-2025,pct wk rsv lab det,quantile,0.1,6.9375
ab,0,11-01-2025,11-01-2025,pct wk rsv lab det,quantile,0.25,8.785
ab,0,11-01-2025,11-01-2025,pct wk rsv lab det,quantile,0.5,11.59
ab,0,11-01-2025,11-01-2025,pct wk rsv lab det,quantile,0.75,14.12
ab,0,11-01-2025,11-01-2025,pct wk rsv lab det,quantile,0.9,16.1675
ab,0,11-01-2025,11-01-2025,pct wk rsv lab det,quantile,0.975,17.88
ab,1,11-01-2025,18-01-2025,pct wk covid lab det,quantile,0.025,3.8775
ab,1,11-01-2025,18-01-2025,pct wk covid lab det,quantile,0.1,4.57
ab,1,11-01-2025,18-01-2025,pct wk covid lab det,quantile,0.25,5.4725
ab,1,11-01-2025,18-01-2025,pct wk covid lab det,quantile,0.5,6.64
ab,1,11-01-2025,18-01-2025,pct wk covid lab det,quantile,0.75,8.035
ab,1,11-01-2025,18-01-2025,pct wk covid lab det,quantile,0.9,9.2125
ab,1,11-01-2025,18-01-2025,pct wk covid lab det,quantile,0.975,10.33
ab,1,11-01-2025,18-01-2025,pct wk flu lab det,quantile,0.025,6.75
ab,1,11-01-2025,18-01-2025,pct wk flu lab det,quantile,0.1,9.355
ab,1,11-01-2025,18-01-2025,pct wk flu lab det,quantile,0.25,12.135
ab,1,11-01-2025,18-01-2025,pct wk flu lab det,quantile,0.5,17
ab,1,11-01-2025,18-01-2025,pct wk flu lab det,quantile,0.75,21.9375
ab,1,11-01-2025,18-01-2025,pct wk flu lab det,quantile,0.9,25.7925
ab,1,11-01-2025,18-01-2025,pct wk flu lab det,quantile,0.975,32.5475
ab,1,11-01-2025,18-01-2025,pct wk rsv lab det,quantile,0.025,3.275
ab,1,11-01-2025,18-01-2025,pct wk rsv lab det,quantile,0.1,5.4475
ab,1,11-01-2025,18-01-2025,pct wk rsv lab det,quantile,0.25,7.645
ab,1,11-01-2025,18-01-2025,pct wk rsv lab det,quantile,0.5,10.8925
ab,1,11-01-2025,18-01-2025,pct wk rsv lab det,quantile,0.75,13.515
ab,1,11-01-2025,18-01-2025,pct wk rsv lab det,quantile,0.9,15.6875
ab,1,11-01-2025,18-01-2025,pct wk rsv lab det,quantile,0.975,17.585
ab,2,11-01-2025,25-01-2025,pct wk covid lab det,quantile,0.025,3.3975
ab,2,11-01-2025,25-01-2025,pct wk covid lab det,quantile,0.1,4.1425
ab,2,11-01-2025,25-01-2025,pct wk covid lab det,quantile,0.25,4.88
ab,2,11-01-2025,25-01-2025,pct wk covid lab det,quantile,0.5,6.305
ab,2,11-01-2025,25-01-2025,pct wk covid lab det,quantile,0.75,7.8025
ab,2,11-01-2025,25-01-2025,pct wk covid lab det,quantile,0.9,9.215
ab,2,11-01-2025,25-01-2025,pct wk covid lab det,quantile,0.975,12.8125
ab,2,11-01-2025,25-01-2025,pct wk flu lab det,quantile,0.025,6.15
ab,2,11-01-2025,25-01-2025,pct wk flu lab det,quantile,0.1,9.3475
ab,2,11-01-2025,25-01-2025,pct wk flu lab det,quantile,0.25,12.9975
ab,2,11-01-2025,25-01-2025,pct wk flu lab det,quantile,0.5,18.31
ab,2,11-01-2025,25-01-2025,pct wk flu lab det,quantile,0.75,23.8725
ab,2,11-01-2025,25-01-2025,pct wk flu lab det,quantile,0.9,32.925
ab,2,11-01-2025,25-01-2025,pct wk flu lab det,quantile,0.975,40.095
ab,2,11-01-2025,25-01-2025,pct wk rsv lab det,quantile,0.025,2.3
ab,2,11-01-2025,25-01-2025,pct wk rsv lab det,quantile,0.1,3.925
ab,2,11-01-2025,25-01-2025,pct wk rsv lab det,quantile,0.25,6.785
ab,2,11-01-2025,25-01-2025,pct wk rsv lab det,quantile,0.5,10.49
ab,2,11-01-2025,25-01-2025,pct wk rsv lab det,quantile,0.75,13.7475
ab,2,11-01-2025,25-01-2025,pct wk rsv lab det,quantile,0.9,16.155
ab,2,11-01-2025,25-01-2025,pct wk rsv lab det,quantile,0.975,18.105
ab,3,11-01-2025,01-02-2025,pct wk covid lab det,quantile,0.025,3.2575
ab,3,11-01-2025,01-02-2025,pct wk covid lab det,quantile,0.1,4
ab,3,11-01-2025,01-02-2025,pct wk covid lab det,quantile,0.25,4.7075
ab,3,11-01-2025,01-02-2025,pct wk covid lab det,quantile,0.5,6.1075
ab,3,11-01-2025,01-02-2025,pct wk covid lab det,quantile,0.75,7.835
ab,3,11-01-2025,01-02-2025,pct wk covid lab det,quantile,0.9,8.99
ab,3,11-01-2025,01-02-2025,pct wk covid lab det,quantile,0.975,17.3325
ab,3,11-01-2025,01-02-2025,pct wk flu lab det,quantile,0.025,4.25
ab,3,11-01-2025,01-02-2025,pct wk flu lab det,quantile,0.1,8.8675
ab,3,11-01-2025,01-02-2025,pct wk flu lab det,quantile,0.25,13.405
ab,3,11-01-2025,01-02-2025,pct wk flu lab det,quantile,0.5,19.8825
ab,3,11-01-2025,01-02-2025,pct wk flu lab det,quantile,0.75,26.235
ab,3,11-01-2025,01-02-2025,pct wk flu lab det,quantile,0.9,36.2725
ab,3,11-01-2025,01-02-2025,pct wk flu lab det,quantile,0.975,45.2125
ab,3,11-01-2025,01-02-2025,pct wk rsv lab det,quantile,0.025,1.875
ab,3,11-01-2025,01-02-2025,pct wk rsv lab det,quantile,0.1,3.39
ab,3,11-01-2025,01-02-2025,pct wk rsv lab det,quantile,0.25,5.2675
ab,3,11-01-2025,01-02-2025,pct wk rsv lab det,quantile,0.5,10.0425
ab,3,11-01-2025,01-02-2025,pct wk rsv lab det,quantile,0.75,14.09
ab,3,11-01-2025,01-02-2025,pct wk rsv lab det,quantile,0.9,17.0925
ab,3,11-01-2025,01-02-2025,pct wk rsv lab det,quantile,0.975,19.6575
atlantic,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.025,2.74
atlantic,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.1,3.496
atlantic,-1,11-01-2025,04-01-2025,pct wk covid lab det,quantile,0.25,4.736
