"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2025-01-25","2025-01-18","pct wk covid lab det","quantile",0.025,2.82
"ab",-1,"2025-01-25","2025-01-18","pct wk covid lab det","quantile",0.1,3.45
"ab",-1,"2025-01-25","2025-01-18","pct wk covid lab det","quantile",0.25,4.16
"ab",-1,"2025-01-25","2025-01-18","pct wk covid lab det","quantile",0.5,5.5275
"ab",-1,"2025-01-25","2025-01-18","pct wk covid lab det","quantile",0.75,6.6475
"ab",-1,"2025-01-25","2025-01-18","pct wk covid lab det","quantile",0.9,7.405
"ab",-1,"2025-01-25","2025-01-18","pct wk covid lab det","quantile",0.975,8.335
"ab",-1,"2025-01-25","2025-01-18","pct wk flu lab det","quantile",0.025,5.65
"ab",-1,"2025-01-25","2025-01-18","pct wk flu lab det","quantile",0.1,7.225
"ab",-1,"2025-01-25","2025-01-18","pct wk flu lab det","quantile",0.25,9.275
"ab",-1,"2025-01-25","2025-01-18","pct wk flu lab det","quantile",0.5,11.5775
"ab",-1,"2025-01-25","2025-01-18","pct wk flu lab det","quantile",0.75,14.38
"ab",-1,"2025-01-25","2025-01-18","pct wk flu lab det","quantile",0.9,16.005
"ab",-1,"2025-01-25","2025-01-18","pct wk flu lab det","quantile",0.975,17.63
"ab",-1,"2025-01-25","2025-01-18","pct wk rsv lab det","quantile",0.025,5.65
"ab",-1,"2025-01-25","2025-01-18","pct wk rsv lab det","quantile",0.1,6.7575
"ab",-1,"2025-01-25","2025-01-18","pct wk rsv lab det","quantile",0.25,7.8675
"ab",-1,"2025-01-25","2025-01-18","pct wk rsv lab det","quantile",0.5,10.165
"ab",-1,"2025-01-25","2025-01-18","pct wk rsv lab det","quantile",0.75,12.215
"ab",-1,"2025-01-25","2025-01-18","pct wk rsv lab det","quantile",0.9,13.625
"ab",-1,"2025-01-25","2025-01-18","pct wk rsv lab det","quantile",0.975,14.6075
"ab",0,"2025-01-25","2025-01-25","pct wk covid lab det","quantile",0.025,2.8075
"ab",0,"2025-01-25","2025-01-25","pct wk covid lab det","quantile",0.1,3.3125
"ab",0,"2025-01-25","2025-01-25","pct wk covid lab det","quantile",0.25,4.045
"ab",0,"2025-01-25","2025-01-25","pct wk covid lab det","quantile",0.5,5.315
"ab",0,"2025-01-25","2025-01-25","pct wk covid lab det","quantile",0.75,6.31
"ab",0,"2025-01-25","2025-01-25","pct wk covid lab det","quantile",0.9,7.2175
"ab",0,"2025-01-25","2025-01-25","pct wk covid lab det","quantile",0.975,8.0975
"ab",0,"2025-01-25","2025-01-25","pct wk flu lab det","quantile",0.025,4.275
"ab",0,"2025-01-25","2025-01-25","pct wk flu lab det","quantile",0.1,6.54
"ab",0,"2025-01-25","2025-01-25","pct wk flu lab det","quantile",0.25,8.835
"ab",0,"2025-01-25","2025-01-25","pct wk flu lab det","quantile",0.5,11.9325
"ab",0,"2025-01-25","2025-01-25","pct wk flu lab det","quantile",0.75,14.9025
"ab",0,"2025-01-25","2025-01-25","pct wk flu lab det","quantile",0.9,17.525
"ab",0,"2025-01-25","2025-01-25","pct wk flu lab det","quantile",0.975,21.5375
"ab",0,"2025-01-25","2025-01-25","pct wk rsv lab det","quantile",0.025,4.275
"ab",0,"2025-01-25","2025-01-25","pct wk rsv lab det","quantile",0.1,5.7575
"ab",0,"2025-01-25","2025-01-25","pct wk rsv lab det","quantile",0.25,7.345
"ab",0,"2025-01-25","2025-01-25","pct wk rsv lab det","quantile",0.5,9.85
"ab",0,"2025-01-25","2025-01-25","pct wk rsv lab det","quantile",0.75,12.2775
"ab",0,"2025-01-25","2025-01-25","pct wk rsv lab det","quantile",0.9,14.3425
"ab",0,"2025-01-25","2025-01-25","pct wk rsv lab det","quantile",0.975,15.65
"ab",1,"2025-01-25","2025-02-01","pct wk covid lab det","quantile",0.025,2.2575
"ab",1,"2025-01-25","2025-02-01","pct wk covid lab det","quantile",0.1,3.0925
"ab",1,"2025-01-25","2025-02-01","pct wk covid lab det","quantile",0.25,3.785
"ab",1,"2025-01-25","2025-02-01","pct wk covid lab det","quantile",0.5,4.8
"ab",1,"2025-01-25","2025-02-01","pct wk covid lab det","quantile",0.75,6.0375
"ab",1,"2025-01-25","2025-02-01","pct wk covid lab det","quantile",0.9,6.9325
"ab",1,"2025-01-25","2025-02-01","pct wk covid lab det","quantile",0.975,9.565
"ab",1,"2025-01-25","2025-02-01","pct wk flu lab det","quantile",0.025,2.1
"ab",1,"2025-01-25","2025-02-01","pct wk flu lab det","quantile",0.1,4.9525
"ab",1,"2025-01-25","2025-02-01","pct wk flu lab det","quantile",0.25,7.775
"ab",1,"2025-01-25","2025-02-01","pct wk flu lab det","quantile",0.5,11.545
"ab",1,"2025-01-25","2025-02-01","pct wk flu lab det","quantile",0.75,14.865
"ab",1,"2025-01-25","2025-02-01","pct wk flu lab det","quantile",0.9,18.21
"ab",1,"2025-01-25","2025-02-01","pct wk flu lab det","quantile",0.975,24.8375
"ab",1,"2025-01-25","2025-02-01","pct wk rsv lab det","quantile",0.025,3.15
"ab",1,"2025-01-25","2025-02-01","pct wk rsv lab det","quantile",0.1,4.84
"ab",1,"2025-01-25","2025-02-01","pct wk rsv lab det","quantile",0.25,6.47
"ab",1,"2025-01-25","2025-02-01","pct wk rsv lab det","quantile",0.5,9.3575
"ab",1,"2025-01-25","2025-02-01","pct wk rsv lab det","quantile",0.75,11.995
"ab",1,"2025-01-25","2025-02-01","pct wk rsv lab det","quantile",0.9,14.25
"ab",1,"2025-01-25","2025-02-01","pct wk rsv lab det","quantile",0.975,16.265
"ab",2,"2025-01-25","2025-02-08","pct wk covid lab det","quantile",0.025,1.785
"ab",2,"2025-01-25","2025-02-08","pct wk covid lab det","quantile",0.1,2.665
"ab",2,"2025-01-25","2025-02-08","pct wk covid lab det","quantile",0.25,3.3775
"ab",2,"2025-01-25","2025-02-08","pct wk covid lab det","quantile",0.5,4.4025
"ab",2,"2025-01-25","2025-02-08","pct wk covid lab det","quantile",0.75,5.6525
"ab",2,"2025-01-25","2025-02-08","pct wk covid lab det","quantile",0.9,6.7875
"ab",2,"2025-01-25","2025-02-08","pct wk covid lab det","quantile",0.975,11.17
"ab",2,"2025-01-25","2025-02-08","pct wk flu lab det","quantile",0.025,1.675
"ab",2,"2025-01-25","2025-02-08","pct wk flu lab det","quantile",0.1,3.525
"ab",2,"2025-01-25","2025-02-08","pct wk flu lab det","quantile",0.25,6.785
"ab",2,"2025-01-25","2025-02-08","pct wk flu lab det","quantile",0.5,11.21
"ab",2,"2025-01-25","2025-02-08","pct wk flu lab det","quantile",0.75,15.16
"ab",2,"2025-01-25","2025-02-08","pct wk flu lab det","quantile",0.9,19.27
"ab",2,"2025-01-25","2025-02-08","pct wk flu lab det","quantile",0.975,26.595
"ab",2,"2025-01-25","2025-02-08","pct wk rsv lab det","quantile",0.025,2.3
"ab",2,"2025-01-25","2025-02-08","pct wk rsv lab det","quantile",0.1,4.17
"ab",2,"2025-01-25","2025-02-08","pct wk rsv lab det","quantile",0.25,5.8975
"ab",2,"2025-01-25","2025-02-08","pct wk rsv lab det","quantile",0.5,9.3525
"ab",2,"2025-01-25","2025-02-08","pct wk rsv lab det","quantile",0.75,12.16
"ab",2,"2025-01-25","2025-02-08","pct wk rsv lab det","quantile",0.9,14.835
