"location","horizon","reference_date","target_end_date","target","output_type_id","value","output_type"
"ab",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.025",0,"quantile"
"ab",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.1",0,"quantile"
"ab",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.25",0.429999999999999,"quantile"
"ab",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.5",1.16,"quantile"
"ab",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.75",1.89,"quantile"
"ab",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.9",2.725,"quantile"
"ab",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.975",3.2885,"quantile"
"ab",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.025",0,"quantile"
"ab",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.1",0,"quantile"
"ab",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.25",0.163831863318632,"quantile"
"ab",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.5",1.16,"quantile"
"ab",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.75",2.21724177241773,"quantile"
"ab",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.9",3.1449657096571,"quantile"
"ab",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.975",4.154467299673,"quantile"
"ab",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.025",0,"quantile"
"ab",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.1",0,"quantile"
"ab",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.25",0,"quantile"
"ab",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.5",1.16,"quantile"
"ab",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.75",2.44030322803228,"quantile"
"ab",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.9",3.58527204272043,"quantile"
"ab",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.975",4.83509645096451,"quantile"
"ab",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.025",0,"quantile"
"ab",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.1",0,"quantile"
"ab",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.25",0,"quantile"
"ab",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.5",1.16,"quantile"
"ab",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.75",2.64242334923349,"quantile"
"ab",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.9",3.9640362703627,"quantile"
"ab",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.975",5.41938663636636,"quantile"
"atlantic",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.025",0,"quantile"
"atlantic",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.1",0.587000000000001,"quantile"
"atlantic",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.25",1.54,"quantile"
"atlantic",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.5",2.57,"quantile"
"atlantic",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.75",3.6,"quantile"
"atlantic",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.9",4.553,"quantile"
"atlantic",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.975",6.25575,"quantile"
"atlantic",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.025",0,"quantile"
"atlantic",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.1",0,"quantile"
"atlantic",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.25",1.1009514595146,"quantile"
"atlantic",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.5",2.57,"quantile"
"atlantic",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.75",4.09276055260553,"quantile"
"atlantic",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.9",5.63266093660937,"quantile"
"atlantic",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.975",7.69181030810308,"quantile"
"atlantic",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.025",0,"quantile"
"atlantic",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.1",0,"quantile"
"atlantic",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.25",0.693971439714399,"quantile"
"atlantic",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.5",2.57,"quantile"
"atlantic",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.75",4.49217719677197,"quantile"
"atlantic",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.9",6.37478207782078,"quantile"
"atlantic",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.975",8.70857518075181,"quantile"
"atlantic",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.025",0,"quantile"
"atlantic",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.1",0,"quantile"
"atlantic",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.25",0.331182236822369,"quantile"
"atlantic",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.5",2.57,"quantile"
"atlantic",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.75",4.80109576095761,"quantile"
"atlantic",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.9",6.95424495244953,"quantile"
"atlantic",3,2025-03-15,2025-04-05,"pct wk covid lab det","0.975",9.55697443224432,"quantile"
"bc",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.025",0,"quantile"
"bc",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.1",0,"quantile"
"bc",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.25",0.287499999999999,"quantile"
"bc",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.5",1.39,"quantile"
"bc",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.75",2.4925,"quantile"
"bc",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.9",3.238,"quantile"
"bc",0,2025-03-15,2025-03-15,"pct wk covid lab det","0.975",4.35224999999999,"quantile"
"bc",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.025",0,"quantile"
"bc",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.1",0,"quantile"
"bc",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.25",0.0783025830258311,"quantile"
"bc",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.5",1.39,"quantile"
"bc",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.75",2.80155401554016,"quantile"
"bc",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.9",4.11883115831158,"quantile"
"bc",1,2025-03-15,2025-03-22,"pct wk covid lab det","0.975",5.63485524855248,"quantile"
"bc",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.025",0,"quantile"
"bc",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.1",0,"quantile"
"bc",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.25",0,"quantile"
"bc",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.5",1.39,"quantile"
"bc",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.75",3.11865816158161,"quantile"
"bc",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.9",4.76740056400564,"quantile"
"bc",2,2025-03-15,2025-03-29,"pct wk covid lab det","0.975",6.60595111451114,"quantile"
