"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2025-02-01","2025-01-25","pct wk covid lab det","quantile",0.025,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk covid lab det","quantile",0.1,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk covid lab det","quantile",0.25,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk covid lab det","quantile",0.5,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk covid lab det","quantile",0.75,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk covid lab det","quantile",0.9,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk covid lab det","quantile",0.975,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk flu lab det","quantile",0.025,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk flu lab det","quantile",0.1,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk flu lab det","quantile",0.25,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk flu lab det","quantile",0.5,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk flu lab det","quantile",0.75,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk flu lab det","quantile",0.9,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk flu lab det","quantile",0.975,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk rsv lab det","quantile",0.025,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk rsv lab det","quantile",0.1,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk rsv lab det","quantile",0.25,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk rsv lab det","quantile",0.5,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk rsv lab det","quantile",0.75,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk rsv lab det","quantile",0.9,NA
"ab",-1,"2025-02-01","2025-01-25","pct wk rsv lab det","quantile",0.975,NA
"ab",0,"2025-02-01","2025-02-01","pct wk covid lab det","quantile",0.025,NA
"ab",0,"2025-02-01","2025-02-01","pct wk covid lab det","quantile",0.1,NA
"ab",0,"2025-02-01","2025-02-01","pct wk covid lab det","quantile",0.25,NA
"ab",0,"2025-02-01","2025-02-01","pct wk covid lab det","quantile",0.5,NA
"ab",0,"2025-02-01","2025-02-01","pct wk covid lab det","quantile",0.75,NA
"ab",0,"2025-02-01","2025-02-01","pct wk covid lab det","quantile",0.9,NA
"ab",0,"2025-02-01","2025-02-01","pct wk covid lab det","quantile",0.975,NA
"ab",0,"2025-02-01","2025-02-01","pct wk flu lab det","quantile",0.025,NA
"ab",0,"2025-02-01","2025-02-01","pct wk flu lab det","quantile",0.1,NA
"ab",0,"2025-02-01","2025-02-01","pct wk flu lab det","quantile",0.25,NA
"ab",0,"2025-02-01","2025-02-01","pct wk flu lab det","quantile",0.5,NA
"ab",0,"2025-02-01","2025-02-01","pct wk flu lab det","quantile",0.75,NA
"ab",0,"2025-02-01","2025-02-01","pct wk flu lab det","quantile",0.9,NA
"ab",0,"2025-02-01","2025-02-01","pct wk flu lab det","quantile",0.975,NA
"ab",0,"2025-02-01","2025-02-01","pct wk rsv lab det","quantile",0.025,NA
"ab",0,"2025-02-01","2025-02-01","pct wk rsv lab det","quantile",0.1,NA
"ab",0,"2025-02-01","2025-02-01","pct wk rsv lab det","quantile",0.25,NA
"ab",0,"2025-02-01","2025-02-01","pct wk rsv lab det","quantile",0.5,NA
"ab",0,"2025-02-01","2025-02-01","pct wk rsv lab det","quantile",0.75,NA
"ab",0,"2025-02-01","2025-02-01","pct wk rsv lab det","quantile",0.9,NA
"ab",0,"2025-02-01","2025-02-01","pct wk rsv lab det","quantile",0.975,NA
"ab",1,"2025-02-01","2025-02-08","pct wk covid lab det","quantile",0.025,NA
"ab",1,"2025-02-01","2025-02-08","pct wk covid lab det","quantile",0.1,NA
"ab",1,"2025-02-01","2025-02-08","pct wk covid lab det","quantile",0.25,NA
"ab",1,"2025-02-01","2025-02-08","pct wk covid lab det","quantile",0.5,NA
"ab",1,"2025-02-01","2025-02-08","pct wk covid lab det","quantile",0.75,NA
"ab",1,"2025-02-01","2025-02-08","pct wk covid lab det","quantile",0.9,NA
"ab",1,"2025-02-01","2025-02-08","pct wk covid lab det","quantile",0.975,NA
"ab",1,"2025-02-01","2025-02-08","pct wk flu lab det","quantile",0.025,NA
"ab",1,"2025-02-01","2025-02-08","pct wk flu lab det","quantile",0.1,NA
"ab",1,"2025-02-01","2025-02-08","pct wk flu lab det","quantile",0.25,NA
"ab",1,"2025-02-01","2025-02-08","pct wk flu lab det","quantile",0.5,NA
"ab",1,"2025-02-01","2025-02-08","pct wk flu lab det","quantile",0.75,NA
"ab",1,"2025-02-01","2025-02-08","pct wk flu lab det","quantile",0.9,NA
"ab",1,"2025-02-01","2025-02-08","pct wk flu lab det","quantile",0.975,NA
"ab",1,"2025-02-01","2025-02-08","pct wk rsv lab det","quantile",0.025,NA
"ab",1,"2025-02-01","2025-02-08","pct wk rsv lab det","quantile",0.1,NA
"ab",1,"2025-02-01","2025-02-08","pct wk rsv lab det","quantile",0.25,NA
"ab",1,"2025-02-01","2025-02-08","pct wk rsv lab det","quantile",0.5,NA
"ab",1,"2025-02-01","2025-02-08","pct wk rsv lab det","quantile",0.75,NA
"ab",1,"2025-02-01","2025-02-08","pct wk rsv lab det","quantile",0.9,NA
"ab",1,"2025-02-01","2025-02-08","pct wk rsv lab det","quantile",0.975,NA
"ab",2,"2025-02-01","2025-02-15","pct wk covid lab det","quantile",0.025,NA
"ab",2,"2025-02-01","2025-02-15","pct wk covid lab det","quantile",0.1,NA
"ab",2,"2025-02-01","2025-02-15","pct wk covid lab det","quantile",0.25,NA
