reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2024-11-30,wk inc covid lab det,-1,2024-11-23,qc,quantile,0.025,6.6
2024-11-30,wk inc covid lab det,-1,2024-11-23,qc,quantile,0.1,7.9
2024-11-30,wk inc covid lab det,-1,2024-11-23,qc,quantile,0.25,9.1
2024-11-30,wk inc covid lab det,-1,2024-11-23,qc,quantile,0.5,10.3
2024-11-30,wk inc covid lab det,-1,2024-11-23,qc,quantile,0.75,11.5
2024-11-30,wk inc covid lab det,-1,2024-11-23,qc,quantile,0.9,12.6
2024-11-30,wk inc covid lab det,-1,2024-11-23,qc,quantile,0.975,13.9
2024-11-30,wk inc covid lab det,0,2024-11-30,qc,quantile,0.025,6.5
2024-11-30,wk inc covid lab det,0,2024-11-30,qc,quantile,0.1,7.3
2024-11-30,wk inc covid lab det,0,2024-11-30,qc,quantile,0.25,8.1
2024-11-30,wk inc covid lab det,0,2024-11-30,qc,quantile,0.5,8.8
2024-11-30,wk inc covid lab det,0,2024-11-30,qc,quantile,0.75,9.6
2024-11-30,wk inc covid lab det,0,2024-11-30,qc,quantile,0.9,10.3
2024-11-30,wk inc covid lab det,0,2024-11-30,qc,quantile,0.975,11.1
2024-11-30,wk inc covid lab det,1,2024-12-07,qc,quantile,0.025,5.8
2024-11-30,wk inc covid lab det,1,2024-12-07,qc,quantile,0.1,6.6
2024-11-30,wk inc covid lab det,1,2024-12-07,qc,quantile,0.25,7.2
2024-11-30,wk inc covid lab det,1,2024-12-07,qc,quantile,0.5,7.9
2024-11-30,wk inc covid lab det,1,2024-12-07,qc,quantile,0.75,8.7
2024-11-30,wk inc covid lab det,1,2024-12-07,qc,quantile,0.9,9.3
2024-11-30,wk inc covid lab det,1,2024-12-07,qc,quantile,0.975,10.2
2024-11-30,wk inc covid lab det,2,2024-12-14,qc,quantile,0.025,5
2024-11-30,wk inc covid lab det,2,2024-12-14,qc,quantile,0.1,5.8
2024-11-30,wk inc covid lab det,2,2024-12-14,qc,quantile,0.25,6.4
2024-11-30,wk inc covid lab det,2,2024-12-14,qc,quantile,0.5,7.2
2024-11-30,wk inc covid lab det,2,2024-12-14,qc,quantile,0.75,7.9
2024-11-30,wk inc covid lab det,2,2024-12-14,qc,quantile,0.9,8.6
2024-11-30,wk inc covid lab det,2,2024-12-14,qc,quantile,0.975,9.5
2024-11-30,wk inc covid lab det,3,2024-12-21,qc,quantile,0.025,4.2
2024-11-30,wk inc covid lab det,3,2024-12-21,qc,quantile,0.1,5
2024-11-30,wk inc covid lab det,3,2024-12-21,qc,quantile,0.25,5.7
