reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2024-12-14,2024-12-07,-1,nu,pct wk covid lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,nu,pct wk covid lab det,quantile,0.1,0
2024-12-14,2024-12-07,-1,nu,pct wk covid lab det,quantile,0.25,0
2024-12-14,2024-12-07,-1,nu,pct wk covid lab det,quantile,0.5,1
2024-12-14,2024-12-07,-1,nu,pct wk covid lab det,quantile,0.75,3.9
2024-12-14,2024-12-07,-1,nu,pct wk covid lab det,quantile,0.9,6.7
2024-12-14,2024-12-07,-1,nu,pct wk covid lab det,quantile,0.975,9.8
2024-12-14,2024-12-14,0,nu,pct wk covid lab det,quantile,0.025,0.4
2024-12-14,2024-12-14,0,nu,pct wk covid lab det,quantile,0.1,2.3
2024-12-14,2024-12-14,0,nu,pct wk covid lab det,quantile,0.25,4
2024-12-14,2024-12-14,0,nu,pct wk covid lab det,quantile,0.5,5.6
2024-12-14,2024-12-14,0,nu,pct wk covid lab det,quantile,0.75,7.4
2024-12-14,2024-12-14,0,nu,pct wk covid lab det,quantile,0.9,9.2
2024-12-14,2024-12-14,0,nu,pct wk covid lab det,quantile,0.975,11.2
2024-12-14,2024-12-21,1,nu,pct wk covid lab det,quantile,0.025,0
2024-12-14,2024-12-21,1,nu,pct wk covid lab det,quantile,0.1,1.3
2024-12-14,2024-12-21,1,nu,pct wk covid lab det,quantile,0.25,2.9
2024-12-14,2024-12-21,1,nu,pct wk covid lab det,quantile,0.5,4.5
2024-12-14,2024-12-21,1,nu,pct wk covid lab det,quantile,0.75,6.2
2024-12-14,2024-12-21,1,nu,pct wk covid lab det,quantile,0.9,7.8
2024-12-14,2024-12-21,1,nu,pct wk covid lab det,quantile,0.975,9.6
2024-12-14,2024-12-28,2,nu,pct wk covid lab det,quantile,0.025,0
2024-12-14,2024-12-28,2,nu,pct wk covid lab det,quantile,0.1,1.2
2024-12-14,2024-12-28,2,nu,pct wk covid lab det,quantile,0.25,2.9
2024-12-14,2024-12-28,2,nu,pct wk covid lab det,quantile,0.5,4.6
2024-12-14,2024-12-28,2,nu,pct wk covid lab det,quantile,0.75,6.3
2024-12-14,2024-12-28,2,nu,pct wk covid lab det,quantile,0.9,8
2024-12-14,2024-12-28,2,nu,pct wk covid lab det,quantile,0.975,10
2024-12-14,2025-01-04,3,nu,pct wk covid lab det,quantile,0.025,0
2024-12-14,2025-01-04,3,nu,pct wk covid lab det,quantile,0.1,0.4
2024-12-14,2025-01-04,3,nu,pct wk covid lab det,quantile,0.25,1.6
2024-12-14,2025-01-04,3,nu,pct wk covid lab det,quantile,0.5,3
2024-12-14,2025-01-04,3,nu,pct wk covid lab det,quantile,0.75,4.4
2024-12-14,2025-01-04,3,nu,pct wk covid lab det,quantile,0.9,5.8
2024-12-14,2025-01-04,3,nu,pct wk covid lab det,quantile,0.975,7.2
2024-12-14,2024-12-07,-1,on,pct wk covid lab det,quantile,0.025,11.4
2024-12-14,2024-12-07,-1,on,pct wk covid lab det,quantile,0.1,12.9
2024-12-14,2024-12-07,-1,on,pct wk covid lab det,quantile,0.25,14.1
2024-12-14,2024-12-07,-1,on,pct wk covid lab det,quantile,0.5,15.6
2024-12-14,2024-12-07,-1,on,pct wk covid lab det,quantile,0.75,17.1
2024-12-14,2024-12-07,-1,on,pct wk covid lab det,quantile,0.9,18.4
2024-12-14,2024-12-07,-1,on,pct wk covid lab det,quantile,0.975,19.9
2024-12-14,2024-12-14,0,on,pct wk covid lab det,quantile,0.025,11
2024-12-14,2024-12-14,0,on,pct wk covid lab det,quantile,0.1,12.1
2024-12-14,2024-12-14,0,on,pct wk covid lab det,quantile,0.25,12.9
2024-12-14,2024-12-14,0,on,pct wk covid lab det,quantile,0.5,13.9
2024-12-14,2024-12-14,0,on,pct wk covid lab det,quantile,0.75,14.9
2024-12-14,2024-12-14,0,on,pct wk covid lab det,quantile,0.9,15.8
2024-12-14,2024-12-14,0,on,pct wk covid lab det,quantile,0.975,16.9
2024-12-14,2024-12-21,1,on,pct wk covid lab det,quantile,0.025,10
2024-12-14,2024-12-21,1,on,pct wk covid lab det,quantile,0.1,11
2024-12-14,2024-12-21,1,on,pct wk covid lab det,quantile,0.25,11.8
2024-12-14,2024-12-21,1,on,pct wk covid lab det,quantile,0.5,12.8
2024-12-14,2024-12-21,1,on,pct wk covid lab det,quantile,0.75,13.9
2024-12-14,2024-12-21,1,on,pct wk covid lab det,quantile,0.9,14.8
2024-12-14,2024-12-21,1,on,pct wk covid lab det,quantile,0.975,16
2024-12-14,2024-12-28,2,on,pct wk covid lab det,quantile,0.025,9
2024-12-14,2024-12-28,2,on,pct wk covid lab det,quantile,0.1,10
2024-12-14,2024-12-28,2,on,pct wk covid lab det,quantile,0.25,11.1
2024-12-14,2024-12-28,2,on,pct wk covid lab det,quantile,0.5,12.2
2024-12-14,2024-12-28,2,on,pct wk covid lab det,quantile,0.75,13.3
2024-12-14,2024-12-28,2,on,pct wk covid lab det,quantile,0.9,14.4
2024-12-14,2024-12-28,2,on,pct wk covid lab det,quantile,0.975,15.7
2024-12-14,2025-01-04,3,on,pct wk covid lab det,quantile,0.025,7.7
2024-12-14,2025-01-04,3,on,pct wk covid lab det,quantile,0.1,8.7
2024-12-14,2025-01-04,3,on,pct wk covid lab det,quantile,0.25,9.8
2024-12-14,2025-01-04,3,on,pct wk covid lab det,quantile,0.5,10.9
2024-12-14,2025-01-04,3,on,pct wk covid lab det,quantile,0.75,12.1
2024-12-14,2025-01-04,3,on,pct wk covid lab det,quantile,0.9,13.2
2024-12-14,2025-01-04,3,on,pct wk covid lab det,quantile,0.975,14.6
2024-12-14,2024-12-07,-1,qc,pct wk covid lab det,quantile,0.025,0
2024-12-14,2024-12-07,-1,qc,pct wk covid lab det,quantile,0.1,3.7
2024-12-14,2024-12-07,-1,qc,pct wk covid lab det,quantile,0.25,7.5
2024-12-14,2024-12-07,-1,qc,pct wk covid lab det,quantile,0.5,11.8
2024-12-14,2024-12-07,-1,qc,pct wk covid lab det,quantile,0.75,16
2024-12-14,2024-12-07,-1,qc,pct wk covid lab det,quantile,0.9,19.7
2024-12-14,2024-12-07,-1,qc,pct wk covid lab det,quantile,0.975,23.9
2024-12-14,2024-12-14,0,qc,pct wk covid lab det,quantile,0.025,5
2024-12-14,2024-12-14,0,qc,pct wk covid lab det,quantile,0.1,7.8
2024-12-14,2024-12-14,0,qc,pct wk covid lab det,quantile,0.25,10.2
2024-12-14,2024-12-14,0,qc,pct wk covid lab det,quantile,0.5,12.5
2024-12-14,2024-12-14,0,qc,pct wk covid lab det,quantile,0.75,15
2024-12-14,2024-12-14,0,qc,pct wk covid lab det,quantile,0.9,17.2
2024-12-14,2024-12-14,0,qc,pct wk covid lab det,quantile,0.975,20
2024-12-14,2024-12-21,1,qc,pct wk covid lab det,quantile,0.025,3.7
2024-12-14,2024-12-21,1,qc,pct wk covid lab det,quantile,0.1,6
2024-12-14,2024-12-21,1,qc,pct wk covid lab det,quantile,0.25,8.1
2024-12-14,2024-12-21,1,qc,pct wk covid lab det,quantile,0.5,10.3
2024-12-14,2024-12-21,1,qc,pct wk covid lab det,quantile,0.75,12.6
2024-12-14,2024-12-21,1,qc,pct wk covid lab det,quantile,0.9,14.7
2024-12-14,2024-12-21,1,qc,pct wk covid lab det,quantile,0.975,17.1
