reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-02-22,2025-02-15,-1,ab,pct wk covid lab det,quantile,0.025,0
2025-02-22,2025-02-15,-1,ab,pct wk covid lab det,quantile,0.1,0.1
2025-02-22,2025-02-15,-1,ab,pct wk covid lab det,quantile,0.25,0.9
2025-02-22,2025-02-15,-1,ab,pct wk covid lab det,quantile,0.5,1.8
2025-02-22,2025-02-15,-1,ab,pct wk covid lab det,quantile,0.75,2.7
2025-02-22,2025-02-15,-1,ab,pct wk covid lab det,quantile,0.9,3.6
2025-02-22,2025-02-15,-1,ab,pct wk covid lab det,quantile,0.975,4.6
2025-02-22,2025-02-22,0,ab,pct wk covid lab det,quantile,0.025,0
2025-02-22,2025-02-22,0,ab,pct wk covid lab det,quantile,0.1,0.6
2025-02-22,2025-02-22,0,ab,pct wk covid lab det,quantile,0.25,1.2
2025-02-22,2025-02-22,0,ab,pct wk covid lab det,quantile,0.5,1.7
2025-02-22,2025-02-22,0,ab,pct wk covid lab det,quantile,0.75,2.2
2025-02-22,2025-02-22,0,ab,pct wk covid lab det,quantile,0.9,2.8
2025-02-22,2025-02-22,0,ab,pct wk covid lab det,quantile,0.975,3.6
2025-02-22,2025-03-01,1,ab,pct wk covid lab det,quantile,0.025,0
2025-02-22,2025-03-01,1,ab,pct wk covid lab det,quantile,0.1,0.5
2025-02-22,2025-03-01,1,ab,pct wk covid lab det,quantile,0.25,1.1
2025-02-22,2025-03-01,1,ab,pct wk covid lab det,quantile,0.5,1.6
2025-02-22,2025-03-01,1,ab,pct wk covid lab det,quantile,0.75,2.1
2025-02-22,2025-03-01,1,ab,pct wk covid lab det,quantile,0.9,2.7
2025-02-22,2025-03-01,1,ab,pct wk covid lab det,quantile,0.975,3.4
2025-02-22,2025-03-08,2,ab,pct wk covid lab det,quantile,0.025,0
2025-02-22,2025-03-08,2,ab,pct wk covid lab det,quantile,0.1,0.3
2025-02-22,2025-03-08,2,ab,pct wk covid lab det,quantile,0.25,0.9
2025-02-22,2025-03-08,2,ab,pct wk covid lab det,quantile,0.5,1.3
2025-02-22,2025-03-08,2,ab,pct wk covid lab det,quantile,0.75,1.8
2025-02-22,2025-03-08,2,ab,pct wk covid lab det,quantile,0.9,2.3
2025-02-22,2025-03-08,2,ab,pct wk covid lab det,quantile,0.975,3.1
2025-02-22,2025-03-15,3,ab,pct wk covid lab det,quantile,0.025,0
2025-02-22,2025-03-15,3,ab,pct wk covid lab det,quantile,0.1,0.3
2025-02-22,2025-03-15,3,ab,pct wk covid lab det,quantile,0.25,0.8
2025-02-22,2025-03-15,3,ab,pct wk covid lab det,quantile,0.5,1.2
2025-02-22,2025-03-15,3,ab,pct wk covid lab det,quantile,0.75,1.7
2025-02-22,2025-03-15,3,ab,pct wk covid lab det,quantile,0.9,2.2
2025-02-22,2025-03-15,3,ab,pct wk covid lab det,quantile,0.975,3.1
2025-02-22,2025-02-15,-1,atlantic,pct wk covid lab det,quantile,0.025,2.1
2025-02-22,2025-02-15,-1,atlantic,pct wk covid lab det,quantile,0.1,2.8
2025-02-22,2025-02-15,-1,atlantic,pct wk covid lab det,quantile,0.25,3.4
2025-02-22,2025-02-15,-1,atlantic,pct wk covid lab det,quantile,0.5,4.3
2025-02-22,2025-02-15,-1,atlantic,pct wk covid lab det,quantile,0.75,5.1
2025-02-22,2025-02-15,-1,atlantic,pct wk covid lab det,quantile,0.9,5.7
2025-02-22,2025-02-15,-1,atlantic,pct wk covid lab det,quantile,0.975,6.5
2025-02-22,2025-02-22,0,atlantic,pct wk covid lab det,quantile,0.025,2.3
2025-02-22,2025-02-22,0,atlantic,pct wk covid lab det,quantile,0.1,2.9
2025-02-22,2025-02-22,0,atlantic,pct wk covid lab det,quantile,0.25,3.2
2025-02-22,2025-02-22,0,atlantic,pct wk covid lab det,quantile,0.5,3.8
2025-02-22,2025-02-22,0,atlantic,pct wk covid lab det,quantile,0.75,4.3
2025-02-22,2025-02-22,0,atlantic,pct wk covid lab det,quantile,0.9,4.8
2025-02-22,2025-02-22,0,atlantic,pct wk covid lab det,quantile,0.975,5.5
2025-02-22,2025-03-01,1,atlantic,pct wk covid lab det,quantile,0.025,2
2025-02-22,2025-03-01,1,atlantic,pct wk covid lab det,quantile,0.1,2.5
2025-02-22,2025-03-01,1,atlantic,pct wk covid lab det,quantile,0.25,3
2025-02-22,2025-03-01,1,atlantic,pct wk covid lab det,quantile,0.5,3.5
2025-02-22,2025-03-01,1,atlantic,pct wk covid lab det,quantile,0.75,4
2025-02-22,2025-03-01,1,atlantic,pct wk covid lab det,quantile,0.9,4.4
2025-02-22,2025-03-01,1,atlantic,pct wk covid lab det,quantile,0.975,5.1
2025-02-22,2025-03-08,2,atlantic,pct wk covid lab det,quantile,0.025,1.8
2025-02-22,2025-03-08,2,atlantic,pct wk covid lab det,quantile,0.1,2.2
2025-02-22,2025-03-08,2,atlantic,pct wk covid lab det,quantile,0.25,2.6
2025-02-22,2025-03-08,2,atlantic,pct wk covid lab det,quantile,0.5,3.1
2025-02-22,2025-03-08,2,atlantic,pct wk covid lab det,quantile,0.75,3.6
2025-02-22,2025-03-08,2,atlantic,pct wk covid lab det,quantile,0.9,4.2
2025-02-22,2025-03-08,2,atlantic,pct wk covid lab det,quantile,0.975,4.9
2025-02-22,2025-03-15,3,atlantic,pct wk covid lab det,quantile,0.025,1.6
2025-02-22,2025-03-15,3,atlantic,pct wk covid lab det,quantile,0.1,2
2025-02-22,2025-03-15,3,atlantic,pct wk covid lab det,quantile,0.25,2.4
2025-02-22,2025-03-15,3,atlantic,pct wk covid lab det,quantile,0.5,2.9
2025-02-22,2025-03-15,3,atlantic,pct wk covid lab det,quantile,0.75,3.4
2025-02-22,2025-03-15,3,atlantic,pct wk covid lab det,quantile,0.9,4
2025-02-22,2025-03-15,3,atlantic,pct wk covid lab det,quantile,0.975,4.8
2025-02-22,2025-02-15,-1,bc,pct wk covid lab det,quantile,0.025,0
2025-02-22,2025-02-15,-1,bc,pct wk covid lab det,quantile,0.1,0.6
2025-02-22,2025-02-15,-1,bc,pct wk covid lab det,quantile,0.25,1.2
2025-02-22,2025-02-15,-1,bc,pct wk covid lab det,quantile,0.5,1.9
2025-02-22,2025-02-15,-1,bc,pct wk covid lab det,quantile,0.75,2.7
2025-02-22,2025-02-15,-1,bc,pct wk covid lab det,quantile,0.9,3.3
2025-02-22,2025-02-15,-1,bc,pct wk covid lab det,quantile,0.975,3.9
2025-02-22,2025-02-22,0,bc,pct wk covid lab det,quantile,0.025,0.4
2025-02-22,2025-02-22,0,bc,pct wk covid lab det,quantile,0.1,1
2025-02-22,2025-02-22,0,bc,pct wk covid lab det,quantile,0.25,1.4
2025-02-22,2025-02-22,0,bc,pct wk covid lab det,quantile,0.5,1.8
2025-02-22,2025-02-22,0,bc,pct wk covid lab det,quantile,0.75,2.2
2025-02-22,2025-02-22,0,bc,pct wk covid lab det,quantile,0.9,2.6
2025-02-22,2025-02-22,0,bc,pct wk covid lab det,quantile,0.975,3.2
2025-02-22,2025-03-01,1,bc,pct wk covid lab det,quantile,0.025,0.3
2025-02-22,2025-03-01,1,bc,pct wk covid lab det,quantile,0.1,0.9
2025-02-22,2025-03-01,1,bc,pct wk covid lab det,quantile,0.25,1.2
2025-02-22,2025-03-01,1,bc,pct wk covid lab det,quantile,0.5,1.7
2025-02-22,2025-03-01,1,bc,pct wk covid lab det,quantile,0.75,2.1
2025-02-22,2025-03-01,1,bc,pct wk covid lab det,quantile,0.9,2.6
2025-02-22,2025-03-01,1,bc,pct wk covid lab det,quantile,0.975,3.1
2025-02-22,2025-03-08,2,bc,pct wk covid lab det,quantile,0.025,0.3
2025-02-22,2025-03-08,2,bc,pct wk covid lab det,quantile,0.1,0.7
2025-02-22,2025-03-08,2,bc,pct wk covid lab det,quantile,0.25,1.1
2025-02-22,2025-03-08,2,bc,pct wk covid lab det,quantile,0.5,1.5
2025-02-22,2025-03-08,2,bc,pct wk covid lab det,quantile,0.75,2
2025-02-22,2025-03-08,2,bc,pct wk covid lab det,quantile,0.9,2.5
2025-02-22,2025-03-08,2,bc,pct wk covid lab det,quantile,0.975,3.1
2025-02-22,2025-03-15,3,bc,pct wk covid lab det,quantile,0.025,0.2
2025-02-22,2025-03-15,3,bc,pct wk covid lab det,quantile,0.1,0.7
2025-02-22,2025-03-15,3,bc,pct wk covid lab det,quantile,0.25,1
2025-02-22,2025-03-15,3,bc,pct wk covid lab det,quantile,0.5,1.4
2025-02-22,2025-03-15,3,bc,pct wk covid lab det,quantile,0.75,1.8
2025-02-22,2025-03-15,3,bc,pct wk covid lab det,quantile,0.9,2.3
2025-02-22,2025-03-15,3,bc,pct wk covid lab det,quantile,0.975,2.8
2025-02-22,2025-02-15,-1,ca,pct wk covid lab det,quantile,0.025,2.3
2025-02-22,2025-02-15,-1,ca,pct wk covid lab det,quantile,0.1,2.9
2025-02-22,2025-02-15,-1,ca,pct wk covid lab det,quantile,0.25,3.4
2025-02-22,2025-02-15,-1,ca,pct wk covid lab det,quantile,0.5,4.1
2025-02-22,2025-02-15,-1,ca,pct wk covid lab det,quantile,0.75,4.6
