reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-04-12,2025-04-05,-1,atlantic,pct wk covid lab det,quantile,0.025,0
2025-04-12,2025-04-05,-1,atlantic,pct wk covid lab det,quantile,0.1,0
2025-04-12,2025-04-05,-1,atlantic,pct wk covid lab det,quantile,0.25,0
2025-04-12,2025-04-05,-1,atlantic,pct wk covid lab det,quantile,0.5,2.3
2025-04-12,2025-04-05,-1,atlantic,pct wk covid lab det,quantile,0.75,2.83
2025-04-12,2025-04-05,-1,atlantic,pct wk covid lab det,quantile,0.9,4.337000000000001
2025-04-12,2025-04-05,-1,atlantic,pct wk covid lab det,quantile,0.975,6.5749999999999975
2025-04-12,2025-04-05,-1,atlantic,pct wk flu lab det,quantile,0.025,4.620000000000001
2025-04-12,2025-04-05,-1,atlantic,pct wk flu lab det,quantile,0.1,6.2120000000000015
2025-04-12,2025-04-05,-1,atlantic,pct wk flu lab det,quantile,0.25,12.165000000000001
2025-04-12,2025-04-05,-1,atlantic,pct wk flu lab det,quantile,0.5,17.6
2025-04-12,2025-04-05,-1,atlantic,pct wk flu lab det,quantile,0.75,19.5
2025-04-12,2025-04-05,-1,atlantic,pct wk flu lab det,quantile,0.9,19.5
2025-04-12,2025-04-05,-1,atlantic,pct wk flu lab det,quantile,0.975,19.5
2025-04-12,2025-04-05,-1,atlantic,pct wk rsv lab det,quantile,0.025,0
2025-04-12,2025-04-05,-1,atlantic,pct wk rsv lab det,quantile,0.1,0
2025-04-12,2025-04-05,-1,atlantic,pct wk rsv lab det,quantile,0.25,0.40500000000000025
2025-04-12,2025-04-05,-1,atlantic,pct wk rsv lab det,quantile,0.5,3
2025-04-12,2025-04-05,-1,atlantic,pct wk rsv lab det,quantile,0.75,3.9
2025-04-12,2025-04-05,-1,atlantic,pct wk rsv lab det,quantile,0.9,4.9350000000000005
2025-04-12,2025-04-05,-1,atlantic,pct wk rsv lab det,quantile,0.975,7.6229999999999905
