reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2024-11-30,pct wk flu lab det,-1,ca,2024-11-23,quantile,0.025,0
2024-11-30,pct wk flu lab det,-1,ca,2024-11-23,quantile,0.1,0
2024-11-30,pct wk flu lab det,-1,ca,2024-11-23,quantile,0.25,0
2024-11-30,pct wk flu lab det,-1,ca,2024-11-23,quantile,0.5,1.3
2024-11-30,pct wk flu lab det,-1,ca,2024-11-23,quantile,0.75,5.2675
2024-11-30,pct wk flu lab det,-1,ca,2024-11-23,quantile,0.9,10.760000000000002
2024-11-30,pct wk flu lab det,-1,ca,2024-11-23,quantile,0.975,16.419749999999986
2024-11-30,pct wk flu lab det,-1,atlantic,2024-11-23,quantile,0.025,0
2024-11-30,pct wk flu lab det,-1,atlantic,2024-11-23,quantile,0.1,0
2024-11-30,pct wk flu lab det,-1,atlantic,2024-11-23,quantile,0.25,0
2024-11-30,pct wk flu lab det,-1,atlantic,2024-11-23,quantile,0.5,1.1
2024-11-30,pct wk flu lab det,-1,atlantic,2024-11-23,quantile,0.75,5.1674999999999995
2024-11-30,pct wk flu lab det,-1,atlantic,2024-11-23,quantile,0.9,10.660000000000002
2024-11-30,pct wk flu lab det,-1,atlantic,2024-11-23,quantile,0.975,16.319749999999985
2024-11-30,pct wk flu lab det,-1,qc,2024-11-23,quantile,0.025,0
2024-11-30,pct wk flu lab det,-1,qc,2024-11-23,quantile,0.1,0
2024-11-30,pct wk flu lab det,-1,qc,2024-11-23,quantile,0.25,0
2024-11-30,pct wk flu lab det,-1,qc,2024-11-23,quantile,0.5,0.7
2024-11-30,pct wk flu lab det,-1,qc,2024-11-23,quantile,0.75,4.967499999999999
2024-11-30,pct wk flu lab det,-1,qc,2024-11-23,quantile,0.9,10.46
2024-11-30,pct wk flu lab det,-1,qc,2024-11-23,quantile,0.975,16.119749999999986
2024-11-30,pct wk flu lab det,-1,on,2024-11-23,quantile,0.025,0
2024-11-30,pct wk flu lab det,-1,on,2024-11-23,quantile,0.1,0
2024-11-30,pct wk flu lab det,-1,on,2024-11-23,quantile,0.25,0
2024-11-30,pct wk flu lab det,-1,on,2024-11-23,quantile,0.5,0.8
2024-11-30,pct wk flu lab det,-1,on,2024-11-23,quantile,0.75,5.0175
2024-11-30,pct wk flu lab det,-1,on,2024-11-23,quantile,0.9,10.510000000000002
2024-11-30,pct wk flu lab det,-1,on,2024-11-23,quantile,0.975,16.169749999999986
2024-11-30,pct wk flu lab det,-1,prairies,2024-11-23,quantile,0.025,0
2024-11-30,pct wk flu lab det,-1,prairies,2024-11-23,quantile,0.1,0
2024-11-30,pct wk flu lab det,-1,prairies,2024-11-23,quantile,0.25,0
2024-11-30,pct wk flu lab det,-1,prairies,2024-11-23,quantile,0.5,2.4
