reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-01-25,2025-01-18,-1,ca,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-18,-1,ca,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-01-18,-1,ca,pct wk flu lab det,quantile,0.25,4.874999999999998
2025-01-25,2025-01-18,-1,ca,pct wk flu lab det,quantile,0.5,13.6
2025-01-25,2025-01-18,-1,ca,pct wk flu lab det,quantile,0.75,13.6
2025-01-25,2025-01-18,-1,ca,pct wk flu lab det,quantile,0.9,13.6
2025-01-25,2025-01-18,-1,ca,pct wk flu lab det,quantile,0.975,17.673374999999997
2025-01-25,2025-01-18,-1,atlantic,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-18,-1,atlantic,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-01-18,-1,atlantic,pct wk flu lab det,quantile,0.25,0
2025-01-25,2025-01-18,-1,atlantic,pct wk flu lab det,quantile,0.5,8.7
2025-01-25,2025-01-18,-1,atlantic,pct wk flu lab det,quantile,0.75,8.7
2025-01-25,2025-01-18,-1,atlantic,pct wk flu lab det,quantile,0.9,10.842000000000004
2025-01-25,2025-01-18,-1,atlantic,pct wk flu lab det,quantile,0.975,15.223374999999995
2025-01-25,2025-01-18,-1,qc,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-18,-1,qc,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-01-18,-1,qc,pct wk flu lab det,quantile,0.25,6.674999999999999
2025-01-25,2025-01-18,-1,qc,pct wk flu lab det,quantile,0.5,15.4
2025-01-25,2025-01-18,-1,qc,pct wk flu lab det,quantile,0.75,15.4
2025-01-25,2025-01-18,-1,qc,pct wk flu lab det,quantile,0.9,15.4
2025-01-25,2025-01-18,-1,qc,pct wk flu lab det,quantile,0.975,18.573374999999995
2025-01-25,2025-01-18,-1,on,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-18,-1,on,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-01-18,-1,on,pct wk flu lab det,quantile,0.25,5.374999999999998
2025-01-25,2025-01-18,-1,on,pct wk flu lab det,quantile,0.5,14.1
2025-01-25,2025-01-18,-1,on,pct wk flu lab det,quantile,0.75,14.1
2025-01-25,2025-01-18,-1,on,pct wk flu lab det,quantile,0.9,14.1
2025-01-25,2025-01-18,-1,on,pct wk flu lab det,quantile,0.975,17.923374999999997
