reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-01-18,2025-01-11,-1,atlantic,pct wk covid lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,atlantic,pct wk covid lab det,quantile,0.1,1.8040000000000005
2025-01-18,2025-01-11,-1,atlantic,pct wk covid lab det,quantile,0.25,4.890000000000001
2025-01-18,2025-01-11,-1,atlantic,pct wk covid lab det,quantile,0.5,6.6
2025-01-18,2025-01-11,-1,atlantic,pct wk covid lab det,quantile,0.75,6.6
2025-01-18,2025-01-11,-1,atlantic,pct wk covid lab det,quantile,0.9,6.615
2025-01-18,2025-01-11,-1,atlantic,pct wk covid lab det,quantile,0.975,7.570999999999998
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.25,0
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.5,8.5
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.75,8.5
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.9,10.7345
2025-01-18,2025-01-11,-1,atlantic,pct wk flu lab det,quantile,0.975,15.001624999999995
2025-01-18,2025-01-11,-1,atlantic,pct wk rsv lab det,quantile,0.025,0.5419999999999998
2025-01-18,2025-01-11,-1,atlantic,pct wk rsv lab det,quantile,0.1,3.3260000000000005
2025-01-18,2025-01-11,-1,atlantic,pct wk rsv lab det,quantile,0.25,5.775
2025-01-18,2025-01-11,-1,atlantic,pct wk rsv lab det,quantile,0.5,9
2025-01-18,2025-01-11,-1,atlantic,pct wk rsv lab det,quantile,0.75,9.7
2025-01-18,2025-01-11,-1,atlantic,pct wk rsv lab det,quantile,0.9,9.7
2025-01-18,2025-01-11,-1,atlantic,pct wk rsv lab det,quantile,0.975,11.145124999999954
2025-01-18,2025-01-11,-1,bc,pct wk covid lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,bc,pct wk covid lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,bc,pct wk covid lab det,quantile,0.25,2.6900000000000013
2025-01-18,2025-01-11,-1,bc,pct wk covid lab det,quantile,0.5,4.4
2025-01-18,2025-01-11,-1,bc,pct wk covid lab det,quantile,0.75,4.8
2025-01-18,2025-01-11,-1,bc,pct wk covid lab det,quantile,0.9,5.515000000000001
2025-01-18,2025-01-11,-1,bc,pct wk covid lab det,quantile,0.975,6.470999999999998
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.25,5.945000000000002
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.5,15.1
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.75,15.8
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.9,15.8
2025-01-18,2025-01-11,-1,bc,pct wk flu lab det,quantile,0.975,18.301625
2025-01-18,2025-01-11,-1,bc,pct wk rsv lab det,quantile,0.025,0.9420000000000002
2025-01-18,2025-01-11,-1,bc,pct wk rsv lab det,quantile,0.1,3.726000000000001
2025-01-18,2025-01-11,-1,bc,pct wk rsv lab det,quantile,0.25,6.175000000000001
2025-01-18,2025-01-11,-1,bc,pct wk rsv lab det,quantile,0.5,9.4
2025-01-18,2025-01-11,-1,bc,pct wk rsv lab det,quantile,0.75,11.4
2025-01-18,2025-01-11,-1,bc,pct wk rsv lab det,quantile,0.9,11.4
2025-01-18,2025-01-11,-1,bc,pct wk rsv lab det,quantile,0.975,11.4
2025-01-18,2025-01-11,-1,ca,pct wk covid lab det,quantile,0.025,1.8600000000000003
2025-01-18,2025-01-11,-1,ca,pct wk covid lab det,quantile,0.1,3.7040000000000006
2025-01-18,2025-01-11,-1,ca,pct wk covid lab det,quantile,0.25,6.790000000000001
2025-01-18,2025-01-11,-1,ca,pct wk covid lab det,quantile,0.5,8.5
2025-01-18,2025-01-11,-1,ca,pct wk covid lab det,quantile,0.75,9.2
2025-01-18,2025-01-11,-1,ca,pct wk covid lab det,quantile,0.9,9.2
2025-01-18,2025-01-11,-1,ca,pct wk covid lab det,quantile,0.975,9.2
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.25,2.645000000000003
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.5,11.8
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.75,11.8
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.9,12.3845
2025-01-18,2025-01-11,-1,ca,pct wk flu lab det,quantile,0.975,16.651624999999996
2025-01-18,2025-01-11,-1,ca,pct wk rsv lab det,quantile,0.025,0.5419999999999998
2025-01-18,2025-01-11,-1,ca,pct wk rsv lab det,quantile,0.1,3.3260000000000005
2025-01-18,2025-01-11,-1,ca,pct wk rsv lab det,quantile,0.25,5.775
2025-01-18,2025-01-11,-1,ca,pct wk rsv lab det,quantile,0.5,9
2025-01-18,2025-01-11,-1,ca,pct wk rsv lab det,quantile,0.75,10.8
2025-01-18,2025-01-11,-1,ca,pct wk rsv lab det,quantile,0.9,10.8
2025-01-18,2025-01-11,-1,ca,pct wk rsv lab det,quantile,0.975,11.145124999999954
2025-01-18,2025-01-11,-1,on,pct wk covid lab det,quantile,0.025,6.86
2025-01-18,2025-01-11,-1,on,pct wk covid lab det,quantile,0.1,8.704
2025-01-18,2025-01-11,-1,on,pct wk covid lab det,quantile,0.25,11.79
2025-01-18,2025-01-11,-1,on,pct wk covid lab det,quantile,0.5,13.5
2025-01-18,2025-01-11,-1,on,pct wk covid lab det,quantile,0.75,14.5
2025-01-18,2025-01-11,-1,on,pct wk covid lab det,quantile,0.9,14.5
2025-01-18,2025-01-11,-1,on,pct wk covid lab det,quantile,0.975,14.5
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.25,2.2450000000000028
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.5,11.4
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.75,11.4
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.9,12.1845
2025-01-18,2025-01-11,-1,on,pct wk flu lab det,quantile,0.975,16.451624999999996
2025-01-18,2025-01-11,-1,on,pct wk rsv lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,on,pct wk rsv lab det,quantile,0.1,1.0260000000000007
2025-01-18,2025-01-11,-1,on,pct wk rsv lab det,quantile,0.25,3.4750000000000005
2025-01-18,2025-01-11,-1,on,pct wk rsv lab det,quantile,0.5,6.7
2025-01-18,2025-01-11,-1,on,pct wk rsv lab det,quantile,0.75,7.6
2025-01-18,2025-01-11,-1,on,pct wk rsv lab det,quantile,0.9,7.6
2025-01-18,2025-01-11,-1,on,pct wk rsv lab det,quantile,0.975,9.995124999999954
2025-01-18,2025-01-11,-1,prairies,pct wk covid lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,prairies,pct wk covid lab det,quantile,0.1,0.10400000000000098
2025-01-18,2025-01-11,-1,prairies,pct wk covid lab det,quantile,0.25,3.1900000000000013
2025-01-18,2025-01-11,-1,prairies,pct wk covid lab det,quantile,0.5,4.9
2025-01-18,2025-01-11,-1,prairies,pct wk covid lab det,quantile,0.75,6
2025-01-18,2025-01-11,-1,prairies,pct wk covid lab det,quantile,0.9,6
2025-01-18,2025-01-11,-1,prairies,pct wk covid lab det,quantile,0.975,6.720999999999998
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.25,3.745000000000003
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.5,12.9
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.75,13.5
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.9,13.5
2025-01-18,2025-01-11,-1,prairies,pct wk flu lab det,quantile,0.975,17.201624999999996
2025-01-18,2025-01-11,-1,prairies,pct wk rsv lab det,quantile,0.025,3.442
2025-01-18,2025-01-11,-1,prairies,pct wk rsv lab det,quantile,0.1,6.226000000000001
2025-01-18,2025-01-11,-1,prairies,pct wk rsv lab det,quantile,0.25,8.675
2025-01-18,2025-01-11,-1,prairies,pct wk rsv lab det,quantile,0.5,11.9
2025-01-18,2025-01-11,-1,prairies,pct wk rsv lab det,quantile,0.75,13.7
2025-01-18,2025-01-11,-1,prairies,pct wk rsv lab det,quantile,0.9,13.7
2025-01-18,2025-01-11,-1,prairies,pct wk rsv lab det,quantile,0.975,13.7
2025-01-18,2025-01-11,-1,qc,pct wk covid lab det,quantile,0.025,2.2600000000000007
2025-01-18,2025-01-11,-1,qc,pct wk covid lab det,quantile,0.1,4.104000000000001
2025-01-18,2025-01-11,-1,qc,pct wk covid lab det,quantile,0.25,7.190000000000001
2025-01-18,2025-01-11,-1,qc,pct wk covid lab det,quantile,0.5,8.9
2025-01-18,2025-01-11,-1,qc,pct wk covid lab det,quantile,0.75,9.6
2025-01-18,2025-01-11,-1,qc,pct wk covid lab det,quantile,0.9,9.6
2025-01-18,2025-01-11,-1,qc,pct wk covid lab det,quantile,0.975,9.6
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.25,1.945000000000002
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.5,11.1
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.75,11.1
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.9,12.0345
2025-01-18,2025-01-11,-1,qc,pct wk flu lab det,quantile,0.975,16.301624999999998
2025-01-18,2025-01-11,-1,qc,pct wk rsv lab det,quantile,0.025,1.0419999999999998
2025-01-18,2025-01-11,-1,qc,pct wk rsv lab det,quantile,0.1,3.826000000000001
2025-01-18,2025-01-11,-1,qc,pct wk rsv lab det,quantile,0.25,6.275
2025-01-18,2025-01-11,-1,qc,pct wk rsv lab det,quantile,0.5,9.5
2025-01-18,2025-01-11,-1,qc,pct wk rsv lab det,quantile,0.75,12.2
2025-01-18,2025-01-11,-1,qc,pct wk rsv lab det,quantile,0.9,12.2
2025-01-18,2025-01-11,-1,qc,pct wk rsv lab det,quantile,0.975,12.2
2025-01-18,2025-01-11,-1,territories,pct wk covid lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,territories,pct wk covid lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,territories,pct wk covid lab det,quantile,0.25,1.5900000000000007
2025-01-18,2025-01-11,-1,territories,pct wk covid lab det,quantile,0.5,3.3
2025-01-18,2025-01-11,-1,territories,pct wk covid lab det,quantile,0.75,3.9
2025-01-18,2025-01-11,-1,territories,pct wk covid lab det,quantile,0.9,4.965
2025-01-18,2025-01-11,-1,territories,pct wk covid lab det,quantile,0.975,5.920999999999998
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.25,7.245000000000001
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.5,16.4
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.75,21.1
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.9,21.1
2025-01-18,2025-01-11,-1,territories,pct wk flu lab det,quantile,0.975,21.1
2025-01-18,2025-01-11,-1,territories,pct wk rsv lab det,quantile,0.025,0
2025-01-18,2025-01-11,-1,territories,pct wk rsv lab det,quantile,0.1,0
2025-01-18,2025-01-11,-1,territories,pct wk rsv lab det,quantile,0.25,0
2025-01-18,2025-01-11,-1,territories,pct wk rsv lab det,quantile,0.5,2.3
2025-01-18,2025-01-11,-1,territories,pct wk rsv lab det,quantile,0.75,5.084999999999998
2025-01-18,2025-01-11,-1,territories,pct wk rsv lab det,quantile,0.9,8.771
2025-01-18,2025-01-11,-1,territories,pct wk rsv lab det,quantile,0.975,10.2
2025-01-18,2025-01-18,0,atlantic,pct wk covid lab det,quantile,0.025,5.430982700709196
2025-01-18,2025-01-18,0,atlantic,pct wk covid lab det,quantile,0.1,5.756859688660049
2025-01-18,2025-01-18,0,atlantic,pct wk covid lab det,quantile,0.25,6.905525764855626
2025-01-18,2025-01-18,0,atlantic,pct wk covid lab det,quantile,0.5,7.34666589337997
2025-01-18,2025-01-18,0,atlantic,pct wk covid lab det,quantile,0.75,8.357924919521354
2025-01-18,2025-01-18,0,atlantic,pct wk covid lab det,quantile,0.9,10.144281991137786
2025-01-18,2025-01-18,0,atlantic,pct wk covid lab det,quantile,0.975,11.046609520423843
2025-01-18,2025-01-18,0,atlantic,pct wk flu lab det,quantile,0.025,3.7143830695658546
2025-01-18,2025-01-18,0,atlantic,pct wk flu lab det,quantile,0.1,6.3848693542695045
2025-01-18,2025-01-18,0,atlantic,pct wk flu lab det,quantile,0.25,9.347982588002527
2025-01-18,2025-01-18,0,atlantic,pct wk flu lab det,quantile,0.5,11.478971861549322
2025-01-18,2025-01-18,0,atlantic,pct wk flu lab det,quantile,0.75,13.885954391608351
2025-01-18,2025-01-18,0,atlantic,pct wk flu lab det,quantile,0.9,16.208652665882827
2025-01-18,2025-01-18,0,atlantic,pct wk flu lab det,quantile,0.975,18.26820859040488
2025-01-18,2025-01-18,0,atlantic,pct wk rsv lab det,quantile,0.025,5.398716111209007
2025-01-18,2025-01-18,0,atlantic,pct wk rsv lab det,quantile,0.1,6.4766249987914
2025-01-18,2025-01-18,0,atlantic,pct wk rsv lab det,quantile,0.25,7.451978016019311
2025-01-18,2025-01-18,0,atlantic,pct wk rsv lab det,quantile,0.5,8.437930967124753
2025-01-18,2025-01-18,0,atlantic,pct wk rsv lab det,quantile,0.75,9.092439840858614
2025-01-18,2025-01-18,0,atlantic,pct wk rsv lab det,quantile,0.9,10.341722989819356
2025-01-18,2025-01-18,0,atlantic,pct wk rsv lab det,quantile,0.975,12.666995352806083
2025-01-18,2025-01-18,0,bc,pct wk covid lab det,quantile,0.025,3.3757340403343745
2025-01-18,2025-01-18,0,bc,pct wk covid lab det,quantile,0.1,3.9306155130476084
2025-01-18,2025-01-18,0,bc,pct wk covid lab det,quantile,0.25,4.728465187211284
2025-01-18,2025-01-18,0,bc,pct wk covid lab det,quantile,0.5,5.382638358047357
2025-01-18,2025-01-18,0,bc,pct wk covid lab det,quantile,0.75,6.521935502559416
2025-01-18,2025-01-18,0,bc,pct wk covid lab det,quantile,0.9,7.976570081280764
2025-01-18,2025-01-18,0,bc,pct wk covid lab det,quantile,0.975,9.54350535027302
2025-01-18,2025-01-18,0,bc,pct wk flu lab det,quantile,0.025,5.552249703790969
2025-01-18,2025-01-18,0,bc,pct wk flu lab det,quantile,0.1,11.070385234598513
2025-01-18,2025-01-18,0,bc,pct wk flu lab det,quantile,0.25,14.74885014842239
2025-01-18,2025-01-18,0,bc,pct wk flu lab det,quantile,0.5,15.940388532508788
2025-01-18,2025-01-18,0,bc,pct wk flu lab det,quantile,0.75,17.89581657338816
2025-01-18,2025-01-18,0,bc,pct wk flu lab det,quantile,0.9,19.459373295159278
2025-01-18,2025-01-18,0,bc,pct wk flu lab det,quantile,0.975,21.710185798914665
2025-01-18,2025-01-18,0,bc,pct wk rsv lab det,quantile,0.025,5.791789482186852
2025-01-18,2025-01-18,0,bc,pct wk rsv lab det,quantile,0.1,6.5801923108787514
2025-01-18,2025-01-18,0,bc,pct wk rsv lab det,quantile,0.25,7.352704614739375
