"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"territories","quantile",0.025,1
2025-05-10,"pct wk covid lab det",0,2025-05-10,"territories","quantile",0.025,1
2025-05-10,"pct wk covid lab det",1,2025-05-17,"territories","quantile",0.025,1
2025-05-10,"pct wk covid lab det",2,2025-05-24,"territories","quantile",0.025,1
2025-05-10,"pct wk covid lab det",3,2025-05-31,"territories","quantile",0.025,1
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"territories","quantile",0.1,1
2025-05-10,"pct wk covid lab det",0,2025-05-10,"territories","quantile",0.1,1
2025-05-10,"pct wk covid lab det",1,2025-05-17,"territories","quantile",0.1,1
2025-05-10,"pct wk covid lab det",2,2025-05-24,"territories","quantile",0.1,1
2025-05-10,"pct wk covid lab det",3,2025-05-31,"territories","quantile",0.1,1
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"territories","quantile",0.25,1
2025-05-10,"pct wk covid lab det",0,2025-05-10,"territories","quantile",0.25,1
2025-05-10,"pct wk covid lab det",1,2025-05-17,"territories","quantile",0.25,1
2025-05-10,"pct wk covid lab det",2,2025-05-24,"territories","quantile",0.25,1
2025-05-10,"pct wk covid lab det",3,2025-05-31,"territories","quantile",0.25,1
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"territories","quantile",0.5,1
2025-05-10,"pct wk covid lab det",0,2025-05-10,"territories","quantile",0.5,1
2025-05-10,"pct wk covid lab det",1,2025-05-17,"territories","quantile",0.5,1
2025-05-10,"pct wk covid lab det",2,2025-05-24,"territories","quantile",0.5,1
2025-05-10,"pct wk covid lab det",3,2025-05-31,"territories","quantile",0.5,1
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"territories","quantile",0.75,1
2025-05-10,"pct wk covid lab det",0,2025-05-10,"territories","quantile",0.75,1
2025-05-10,"pct wk covid lab det",1,2025-05-17,"territories","quantile",0.75,1
2025-05-10,"pct wk covid lab det",2,2025-05-24,"territories","quantile",0.75,1
2025-05-10,"pct wk covid lab det",3,2025-05-31,"territories","quantile",0.75,1
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"territories","quantile",0.9,1
2025-05-10,"pct wk covid lab det",0,2025-05-10,"territories","quantile",0.9,1
2025-05-10,"pct wk covid lab det",1,2025-05-17,"territories","quantile",0.9,2
2025-05-10,"pct wk covid lab det",2,2025-05-24,"territories","quantile",0.9,2
2025-05-10,"pct wk covid lab det",3,2025-05-31,"territories","quantile",0.9,2
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"territories","quantile",0.975,1
2025-05-10,"pct wk covid lab det",0,2025-05-10,"territories","quantile",0.975,2
2025-05-10,"pct wk covid lab det",1,2025-05-17,"territories","quantile",0.975,4
2025-05-10,"pct wk covid lab det",2,2025-05-24,"territories","quantile",0.975,6
2025-05-10,"pct wk covid lab det",3,2025-05-31,"territories","quantile",0.975,7
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"nt","quantile",0.025,2
2025-05-10,"pct wk covid lab det",0,2025-05-10,"nt","quantile",0.025,2
2025-05-10,"pct wk covid lab det",1,2025-05-17,"nt","quantile",0.025,1
2025-05-10,"pct wk covid lab det",2,2025-05-24,"nt","quantile",0.025,1
2025-05-10,"pct wk covid lab det",3,2025-05-31,"nt","quantile",0.025,1
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"nt","quantile",0.1,2
2025-05-10,"pct wk covid lab det",0,2025-05-10,"nt","quantile",0.1,2
2025-05-10,"pct wk covid lab det",1,2025-05-17,"nt","quantile",0.1,2
2025-05-10,"pct wk covid lab det",2,2025-05-24,"nt","quantile",0.1,2
2025-05-10,"pct wk covid lab det",3,2025-05-31,"nt","quantile",0.1,1
2025-05-10,"pct wk covid lab det",-1,2025-05-03,"nt","quantile",0.25,2
