reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2024-11-30,2024-11-23,-1,ab,pct wk covid lab det,quantile,0.025,10.2
2024-11-30,2024-11-23,-1,ab,pct wk covid lab det,quantile,0.100,10.6
2024-11-30,2024-11-23,-1,ab,pct wk covid lab det,quantile,0.250,11.3
2024-11-30,2024-11-23,-1,ab,pct wk covid lab det,quantile,0.500,11.6
2024-11-30,2024-11-23,-1,ab,pct wk covid lab det,quantile,0.750,11.6
2024-11-30,2024-11-23,-1,ab,pct wk covid lab det,quantile,0.900,11.8
2024-11-30,2024-11-23,-1,ab,pct wk covid lab det,quantile,0.975,11.9
2024-11-30,2024-11-30,0,ab,pct wk covid lab det,quantile,0.025,9.1
2024-11-30,2024-11-30,0,ab,pct wk covid lab det,quantile,0.100,9.3
2024-11-30,2024-11-30,0,ab,pct wk covid lab det,quantile,0.250,9.6
2024-11-30,2024-11-30,0,ab,pct wk covid lab det,quantile,0.500,10.3
2024-11-30,2024-11-30,0,ab,pct wk covid lab det,quantile,0.750,10.9
2024-11-30,2024-11-30,0,ab,pct wk covid lab det,quantile,0.900,10.9
2024-11-30,2024-11-30,0,ab,pct wk covid lab det,quantile,0.975,10.9
2024-11-30,2024-12-07,1,ab,pct wk covid lab det,quantile,0.025,6.6
2024-11-30,2024-12-07,1,ab,pct wk covid lab det,quantile,0.100,6.6
2024-11-30,2024-12-07,1,ab,pct wk covid lab det,quantile,0.250,7.3
2024-11-30,2024-12-07,1,ab,pct wk covid lab det,quantile,0.500,9.9
2024-11-30,2024-12-07,1,ab,pct wk covid lab det,quantile,0.750,10.5
2024-11-30,2024-12-07,1,ab,pct wk covid lab det,quantile,0.900,10.7
2024-11-30,2024-12-07,1,ab,pct wk covid lab det,quantile,0.975,10.8
2024-11-30,2024-12-14,2,ab,pct wk covid lab det,quantile,0.025,6.5
2024-11-30,2024-12-14,2,ab,pct wk covid lab det,quantile,0.100,6.6
2024-11-30,2024-12-14,2,ab,pct wk covid lab det,quantile,0.250,6.7
2024-11-30,2024-12-14,2,ab,pct wk covid lab det,quantile,0.500,7.1
