reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2024-12-07,pct wk covid lab det,-1,ab,2024-11-30,quantile,0.025,5.5
2024-12-07,pct wk covid lab det,-1,ab,2024-11-30,quantile,0.1,6.3
2024-12-07,pct wk covid lab det,-1,ab,2024-11-30,quantile,0.25,7.8
2024-12-07,pct wk covid lab det,-1,ab,2024-11-30,quantile,0.5,10.3
2024-12-07,pct wk covid lab det,-1,ab,2024-11-30,quantile,0.75,12.9
2024-12-07,pct wk covid lab det,-1,ab,2024-11-30,quantile,0.9,14.4
2024-12-07,pct wk covid lab det,-1,ab,2024-11-30,quantile,0.975,15.2
2024-12-07,pct wk covid lab det,0,ab,2024-12-07,quantile,0.025,4.0
2024-12-07,pct wk covid lab det,0,ab,2024-12-07,quantile,0.1,4.8
2024-12-07,pct wk covid lab det,0,ab,2024-12-07,quantile,0.25,6.3
2024-12-07,pct wk covid lab det,0,ab,2024-12-07,quantile,0.5,8.8
2024-12-07,pct wk covid lab det,0,ab,2024-12-07,quantile,0.75,11.4
2024-12-07,pct wk covid lab det,0,ab,2024-12-07,quantile,0.9,12.9
2024-12-07,pct wk covid lab det,0,ab,2024-12-07,quantile,0.975,13.6
2024-12-07,pct wk covid lab det,1,ab,2024-12-14,quantile,0.025,3.9
2024-12-07,pct wk covid lab det,1,ab,2024-12-14,quantile,0.1,4.6
2024-12-07,pct wk covid lab det,1,ab,2024-12-14,quantile,0.25,6.1
2024-12-07,pct wk covid lab det,1,ab,2024-12-14,quantile,0.5,8.5
2024-12-07,pct wk covid lab det,1,ab,2024-12-14,quantile,0.75,10.9
2024-12-07,pct wk covid lab det,1,ab,2024-12-14,quantile,0.9,12.3
2024-12-07,pct wk covid lab det,1,ab,2024-12-14,quantile,0.975,13.0
2024-12-07,pct wk covid lab det,2,ab,2024-12-21,quantile,0.025,4.0
2024-12-07,pct wk covid lab det,2,ab,2024-12-21,quantile,0.1,4.7
2024-12-07,pct wk covid lab det,2,ab,2024-12-21,quantile,0.25,6.2
2024-12-07,pct wk covid lab det,2,ab,2024-12-21,quantile,0.5,8.6
2024-12-07,pct wk covid lab det,2,ab,2024-12-21,quantile,0.75,11.1
2024-12-07,pct wk covid lab det,2,ab,2024-12-21,quantile,0.9,12.6
2024-12-07,pct wk covid lab det,2,ab,2024-12-21,quantile,0.975,13.3
2024-12-07,pct wk covid lab det,3,ab,2024-12-28,quantile,0.025,4.6
2024-12-07,pct wk covid lab det,3,ab,2024-12-28,quantile,0.1,5.3
2024-12-07,pct wk covid lab det,3,ab,2024-12-28,quantile,0.25,6.8
2024-12-07,pct wk covid lab det,3,ab,2024-12-28,quantile,0.5,9.3
2024-12-07,pct wk covid lab det,3,ab,2024-12-28,quantile,0.75,11.8
2024-12-07,pct wk covid lab det,3,ab,2024-12-28,quantile,0.9,13.3
2024-12-07,pct wk covid lab det,3,ab,2024-12-28,quantile,0.975,14.1
2024-12-07,pct wk flu lab det,-1,ab,2024-11-30,quantile,0.025,0.9
2024-12-07,pct wk flu lab det,-1,ab,2024-11-30,quantile,0.1,3.5
2024-12-07,pct wk flu lab det,-1,ab,2024-11-30,quantile,0.25,8.6
2024-12-07,pct wk flu lab det,-1,ab,2024-11-30,quantile,0.5,17.3
2024-12-07,pct wk flu lab det,-1,ab,2024-11-30,quantile,0.75,25.9
2024-12-07,pct wk flu lab det,-1,ab,2024-11-30,quantile,0.9,31.1
2024-12-07,pct wk flu lab det,-1,ab,2024-11-30,quantile,0.975,33.7
2024-12-07,pct wk flu lab det,0,ab,2024-12-07,quantile,0.025,0.9
2024-12-07,pct wk flu lab det,0,ab,2024-12-07,quantile,0.1,3.7
2024-12-07,pct wk flu lab det,0,ab,2024-12-07,quantile,0.25,9.2
2024-12-07,pct wk flu lab det,0,ab,2024-12-07,quantile,0.5,18.3
2024-12-07,pct wk flu lab det,0,ab,2024-12-07,quantile,0.75,27.5
2024-12-07,pct wk flu lab det,0,ab,2024-12-07,quantile,0.9,33.0
2024-12-07,pct wk flu lab det,0,ab,2024-12-07,quantile,0.975,35.8
2024-12-07,pct wk flu lab det,1,ab,2024-12-14,quantile,0.025,1.0
2024-12-07,pct wk flu lab det,1,ab,2024-12-14,quantile,0.1,3.9
2024-12-07,pct wk flu lab det,1,ab,2024-12-14,quantile,0.25,9.8
2024-12-07,pct wk flu lab det,1,ab,2024-12-14,quantile,0.5,19.5
2024-12-07,pct wk flu lab det,1,ab,2024-12-14,quantile,0.75,29.3
2024-12-07,pct wk flu lab det,1,ab,2024-12-14,quantile,0.9,35.2
2024-12-07,pct wk flu lab det,1,ab,2024-12-14,quantile,0.975,38.1
2024-12-07,pct wk flu lab det,2,ab,2024-12-21,quantile,0.025,1.0
2024-12-07,pct wk flu lab det,2,ab,2024-12-21,quantile,0.1,4.2
2024-12-07,pct wk flu lab det,2,ab,2024-12-21,quantile,0.25,10.5
2024-12-07,pct wk flu lab det,2,ab,2024-12-21,quantile,0.5,21.0
2024-12-07,pct wk flu lab det,2,ab,2024-12-21,quantile,0.75,31.5
2024-12-07,pct wk flu lab det,2,ab,2024-12-21,quantile,0.9,37.7
2024-12-07,pct wk flu lab det,2,ab,2024-12-21,quantile,0.975,40.9
2024-12-07,pct wk flu lab det,3,ab,2024-12-28,quantile,0.025,1.0
2024-12-07,pct wk flu lab det,3,ab,2024-12-28,quantile,0.1,4.0
2024-12-07,pct wk flu lab det,3,ab,2024-12-28,quantile,0.25,10.0
2024-12-07,pct wk flu lab det,3,ab,2024-12-28,quantile,0.5,20.1
2024-12-07,pct wk flu lab det,3,ab,2024-12-28,quantile,0.75,30.1
2024-12-07,pct wk flu lab det,3,ab,2024-12-28,quantile,0.9,36.2
2024-12-07,pct wk flu lab det,3,ab,2024-12-28,quantile,0.975,39.2
2024-12-07,pct wk rsv lab det,-1,ab,2024-11-30,quantile,0.025,0.4
2024-12-07,pct wk rsv lab det,-1,ab,2024-11-30,quantile,0.1,1.4
2024-12-07,pct wk rsv lab det,-1,ab,2024-11-30,quantile,0.25,3.6
2024-12-07,pct wk rsv lab det,-1,ab,2024-11-30,quantile,0.5,7.2
2024-12-07,pct wk rsv lab det,-1,ab,2024-11-30,quantile,0.75,10.9
2024-12-07,pct wk rsv lab det,-1,ab,2024-11-30,quantile,0.9,13.0
2024-12-07,pct wk rsv lab det,-1,ab,2024-11-30,quantile,0.975,14.1
2024-12-07,pct wk rsv lab det,0,ab,2024-12-07,quantile,0.025,0.4
2024-12-07,pct wk rsv lab det,0,ab,2024-12-07,quantile,0.1,1.6
2024-12-07,pct wk rsv lab det,0,ab,2024-12-07,quantile,0.25,4.1
2024-12-07,pct wk rsv lab det,0,ab,2024-12-07,quantile,0.5,8.2
2024-12-07,pct wk rsv lab det,0,ab,2024-12-07,quantile,0.75,12.2
2024-12-07,pct wk rsv lab det,0,ab,2024-12-07,quantile,0.9,14.7
2024-12-07,pct wk rsv lab det,0,ab,2024-12-07,quantile,0.975,15.9
2024-12-07,pct wk rsv lab det,1,ab,2024-12-14,quantile,0.025,0.4
2024-12-07,pct wk rsv lab det,1,ab,2024-12-14,quantile,0.1,1.7
2024-12-07,pct wk rsv lab det,1,ab,2024-12-14,quantile,0.25,4.3
2024-12-07,pct wk rsv lab det,1,ab,2024-12-14,quantile,0.5,8.5
2024-12-07,pct wk rsv lab det,1,ab,2024-12-14,quantile,0.75,12.8
2024-12-07,pct wk rsv lab det,1,ab,2024-12-14,quantile,0.9,15.4
2024-12-07,pct wk rsv lab det,1,ab,2024-12-14,quantile,0.975,16.6
2024-12-07,pct wk rsv lab det,2,ab,2024-12-21,quantile,0.025,0.5
2024-12-07,pct wk rsv lab det,2,ab,2024-12-21,quantile,0.1,1.8
2024-12-07,pct wk rsv lab det,2,ab,2024-12-21,quantile,0.25,4.6
2024-12-07,pct wk rsv lab det,2,ab,2024-12-21,quantile,0.5,9.1
2024-12-07,pct wk rsv lab det,2,ab,2024-12-21,quantile,0.75,13.7
2024-12-07,pct wk rsv lab det,2,ab,2024-12-21,quantile,0.9,16.5
2024-12-07,pct wk rsv lab det,2,ab,2024-12-21,quantile,0.975,17.8
2024-12-07,pct wk rsv lab det,3,ab,2024-12-28,quantile,0.025,0.5
2024-12-07,pct wk rsv lab det,3,ab,2024-12-28,quantile,0.1,1.9
2024-12-07,pct wk rsv lab det,3,ab,2024-12-28,quantile,0.25,4.7
2024-12-07,pct wk rsv lab det,3,ab,2024-12-28,quantile,0.5,9.5
2024-12-07,pct wk rsv lab det,3,ab,2024-12-28,quantile,0.75,14.2
2024-12-07,pct wk rsv lab det,3,ab,2024-12-28,quantile,0.9,17.1
2024-12-07,pct wk rsv lab det,3,ab,2024-12-28,quantile,0.975,18.5
2024-12-07,pct wk covid lab det,-1,atlantic,2024-11-30,quantile,0.025,0.4
2024-12-07,pct wk covid lab det,-1,atlantic,2024-11-30,quantile,0.1,1.7
2024-12-07,pct wk covid lab det,-1,atlantic,2024-11-30,quantile,0.25,4.4
2024-12-07,pct wk covid lab det,-1,atlantic,2024-11-30,quantile,0.5,8.7
2024-12-07,pct wk covid lab det,-1,atlantic,2024-11-30,quantile,0.75,13.1
2024-12-07,pct wk covid lab det,-1,atlantic,2024-11-30,quantile,0.9,15.7
2024-12-07,pct wk covid lab det,-1,atlantic,2024-11-30,quantile,0.975,17.0
2024-12-07,pct wk covid lab det,0,atlantic,2024-12-07,quantile,0.025,0.5
2024-12-07,pct wk covid lab det,0,atlantic,2024-12-07,quantile,0.1,1.8
2024-12-07,pct wk covid lab det,0,atlantic,2024-12-07,quantile,0.25,4.4
2024-12-07,pct wk covid lab det,0,atlantic,2024-12-07,quantile,0.5,8.6
2024-12-07,pct wk covid lab det,0,atlantic,2024-12-07,quantile,0.75,12.9
2024-12-07,pct wk covid lab det,0,atlantic,2024-12-07,quantile,0.9,15.5
2024-12-07,pct wk covid lab det,0,atlantic,2024-12-07,quantile,0.975,16.7
2024-12-07,pct wk covid lab det,1,atlantic,2024-12-14,quantile,0.025,0.6
2024-12-07,pct wk covid lab det,1,atlantic,2024-12-14,quantile,0.1,1.8
2024-12-07,pct wk covid lab det,1,atlantic,2024-12-14,quantile,0.25,4.3
2024-12-07,pct wk covid lab det,1,atlantic,2024-12-14,quantile,0.5,8.3
2024-12-07,pct wk covid lab det,1,atlantic,2024-12-14,quantile,0.75,12.3
2024-12-07,pct wk covid lab det,1,atlantic,2024-12-14,quantile,0.9,14.7
2024-12-07,pct wk covid lab det,1,atlantic,2024-12-14,quantile,0.975,16.0
2024-12-07,pct wk covid lab det,2,atlantic,2024-12-21,quantile,0.025,0.4
2024-12-07,pct wk covid lab det,2,atlantic,2024-12-21,quantile,0.1,1.7
2024-12-07,pct wk covid lab det,2,atlantic,2024-12-21,quantile,0.25,4.3
2024-12-07,pct wk covid lab det,2,atlantic,2024-12-21,quantile,0.5,8.6
2024-12-07,pct wk covid lab det,2,atlantic,2024-12-21,quantile,0.75,12.9
2024-12-07,pct wk covid lab det,2,atlantic,2024-12-21,quantile,0.9,15.5
2024-12-07,pct wk covid lab det,2,atlantic,2024-12-21,quantile,0.975,16.8
2024-12-07,pct wk covid lab det,3,atlantic,2024-12-28,quantile,0.025,0.4
2024-12-07,pct wk covid lab det,3,atlantic,2024-12-28,quantile,0.1,1.7
2024-12-07,pct wk covid lab det,3,atlantic,2024-12-28,quantile,0.25,4.2
2024-12-07,pct wk covid lab det,3,atlantic,2024-12-28,quantile,0.5,8.5
2024-12-07,pct wk covid lab det,3,atlantic,2024-12-28,quantile,0.75,12.7
2024-12-07,pct wk covid lab det,3,atlantic,2024-12-28,quantile,0.9,15.2
2024-12-07,pct wk covid lab det,3,atlantic,2024-12-28,quantile,0.975,16.5
