time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2014-08-23,province,sk,124.0,0,0,124.0,0,124.0,124.0,2,124.0,0,124.0,37,124.0,0,3,0,0.0,0.0,0.0,2.4193548387096775,0.0,1.6129032258064515,29.838709677419356,0.0,0.0
2014-06-14,province,bc,82.0,5,2,82.0,1,48.0,48.0,1,48.0,2,48.0,10,48.0,0,2,7,0.0,4.17,1.22,4.17,8.54,2.08,20.83,6.1,2.44
2014-06-07,province,on,745.0,9,9,809.0,8,704.0,704.0,11,665.0,7,337.0,43,211.0,1,43,18,0.47,1.05,0.99,6.11,2.42,1.56,12.76,1.21,1.21
2014-03-22,province,on,1673.0,55,198,1639.0,156,1375.0,1375.0,17,1333.0,102,559.0,14,337.0,30,11,253,8.9,7.65,9.52,0.8,15.129999999999999,1.24,2.5,3.29,11.84
2013-10-05,province,on,660.0,1,0,651.0,4,601.0,601.0,7,576.0,1,295.0,69,216.0,2,23,1,0.93,0.17,0.61,3.83,0.15,1.16,23.39,0.15,0.0
2014-06-07,province,qc,505.0,2,4,492.0,7,377.0,389.0,12,300.0,7,0.0,0,298.0,1,13,6,0.34,2.33,1.42,3.45,1.1900000000000002,3.08,0.0,0.4,0.79
2014-03-22,province,qc,1929.0,33,197,1134.0,148,610.0,634.0,30,468.0,42,0.0,0,455.0,13,6,230,2.86,8.97,13.05,0.98,11.92,4.73,0.0,1.71,10.21
2013-10-05,province,bc,104.0,0,1,104.0,0,39.0,39.0,0,39.0,0,39.0,16,39.0,1,2,1,2.56,0.0,0.0,5.13,0.96,0.0,41.02,0.0,0.96
2014-06-14,nation,ca,2003.0,18,36,1938.0,41,1663.0,1668.0,60,1430.0,16,914.0,168,1053.0,10,116,54,0.95,1.12,2.12,6.98,2.7,3.6,18.38,0.9,1.8
2014-03-29,nation,ca,5000.0,144,552,4031.0,441,2943.0,2951.0,64,2667.0,242,1508.0,146,1665.0,62,49,696,3.72,9.07,10.94,1.66,13.919999999999998,2.17,9.68,2.88,11.04
2013-10-05,nation,ca,1847.0,4,2,1834.0,8,1645.0,1657.0,20,1445.0,7,890.0,299,961.0,4,68,6,0.42,0.48,0.44,4.13,0.33,1.21,33.6,0.22,0.11
2014-03-29,province,bc,238.0,15,22,238.0,29,65.0,65.0,0,65.0,8,65.0,4,65.0,1,1,37,1.54,12.31,12.18,1.54,15.54,0.0,6.15,6.3,9.24
2013-09-28,nation,ca,1714.0,3,0,1723.0,13,1526.0,1544.0,15,1323.0,2,826.0,263,833.0,6,51,3,0.72,0.15,0.75,3.34,0.18,0.97,31.84,0.18,0.0
2013-09-28,province,qc,391.0,1,0,444.0,3,377.0,391.0,9,244.0,1,0.0,0,137.0,0,8,1,0.0,0.41,0.68,2.12,0.26,2.3,0.0,0.26,0.0
2014-06-14,province,on,749.0,3,9,740.0,17,598.0,598.0,9,569.0,4,289.0,37,186.0,4,33,12,2.15,0.7,2.3,5.52,1.6,1.51,12.8,0.4,1.2
2014-06-14,province,qc,505.0,4,4,505.0,7,420.0,425.0,26,281.0,2,0.0,0,268.0,1,21,8,0.37,0.71,1.39,5.0,1.58,6.12,0.0,0.79,0.79
2014-03-29,province,on,1747.0,50,278,1608.0,125,1328.0,1328.0,12,1299.0,95,578.0,14,378.0,17,20,328,4.5,7.31,7.77,1.51,18.77,0.9,2.42,2.86,15.91
2013-09-28,province,on,632.0,1,0,621.0,8,562.0,562.0,2,537.0,1,266.0,71,165.0,5,26,1,3.03,0.19,1.29,4.63,0.16,0.36,26.69,0.16,0.0
2014-06-21,nation,ca,1842.0,9,27,1815.0,36,1572.0,1567.0,49,1331.0,11,836.0,178,979.0,9,137,36,0.92,0.83,1.98,8.72,1.96,3.13,21.29,0.49,1.47
2014-03-29,province,qc,1862.0,22,196,1170.0,124,583.0,591.0,29,437.0,42,0.0,0,423.0,6,8,218,1.42,9.61,10.6,1.37,11.709999999999997,4.91,0.0,1.18,10.53
2013-09-28,province,bc,108.0,0,0,108.0,0,47.0,47.0,1,47.0,0,47.0,19,47.0,0,2,0,0.0,0.0,0.0,4.26,0.0,2.13,40.42,0.0,0.0
2014-06-21,province,bc,85.0,2,3,85.0,0,38.0,38.0,0,38.0,0,38.0,14,38.0,0,4,5,0.0,0.0,0.0,10.53,5.879999999999999,0.0,36.84,2.35,3.53
2013-10-05,province,qc,447.0,2,0,492.0,3,419.0,431.0,6,290.0,1,0.0,0,186.0,1,13,2,0.54,0.34,0.61,3.1,0.45000000000000007,1.39,0.0,0.45,0.0
2014-03-22,province,bc,298.0,11,20,298.0,45,65.0,65.0,2,65.0,11,65.0,13,65.0,4,0,31,6.15,16.92,15.1,0.0,10.4,3.08,20.0,3.69,6.71
2014-06-07,province,bc,97.0,4,3,97.0,1,65.0,65.0,0,65.0,0,65.0,17,65.0,1,4,7,1.54,0.0,1.03,6.15,7.21,0.0,26.15,4.12,3.09
2013-10-12,nation,ca,1934.0,5,2,1914.0,18,1704.0,1743.0,28,1524.0,5,946.0,297,1035.0,3,70,7,0.29,0.33,0.94,4.11,0.36,1.61,31.4,0.26,0.1
2013-10-19,province,qc,428.0,1,0,470.0,2,384.0,398.0,8,251.0,0,0.0,0,127.0,1,15,1,0.79,0.0,0.43,3.91,0.22999999999999998,2.01,0.0,0.23,0.0
2014-05-24,province,qc,723.0,3,29,586.0,10,425.0,431.0,20,303.0,9,0.0,0,298.0,3,21,32,1.01,2.97,1.71,4.94,4.419999999999999,4.64,0.0,0.41,4.01
2014-03-08,province,qc,2363.0,130,179,1388.0,208,723.0,730.0,22,541.0,41,0.0,0,380.0,25,11,309,6.58,7.58,14.99,1.52,13.080000000000002,3.01,0.0,5.5,7.58
2013-10-19,province,on,660.0,1,0,656.0,12,602.0,602.0,8,575.0,0,293.0,75,206.0,0,27,1,0.0,0.0,1.83,4.49,0.15,1.33,25.6,0.15,0.0
2014-05-31,nation,ca,2507.0,36,105,2464.0,73,2078.0,2100.0,52,1859.0,31,1041.0,229,1196.0,12,141,141,1.0,1.67,2.96,6.79,5.63,2.48,22.0,1.44,4.19
2014-03-15,nation,ca,5650.0,239,492,4416.0,592,3138.0,3155.0,60,2870.0,269,1631.0,136,1727.0,107,56,731,6.2,9.37,13.41,1.78,12.940000000000001,1.9,8.34,4.23,8.71
2013-10-19,province,bc,113.0,0,0,113.0,1,63.0,63.0,2,63.0,0,63.0,27,63.0,3,0,0,4.76,0.0,0.88,0.0,0.0,3.17,42.86,0.0,0.0
2014-05-31,province,bc,109.0,2,5,109.0,2,57.0,57.0,1,57.0,1,57.0,13,57.0,1,1,7,1.75,1.75,1.83,1.75,6.419999999999999,1.75,22.81,1.83,4.59
