time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2019-08-24,province,nl,29.0,0,0,29.0,0,29.0,29.0,0,29.0,0,29.0,8,,0,0,0,,0.0,0.0,0.0,0.0,0.0,27.586,0.0,0.0
2018-09-01,nation,ca,1764.0,12,0,1743.0,9,1401.0,1394.0,21,1335.0,7,771.0,196,1058.0,4,35,12,0.4,0.5,0.5,2.5,0.68,1.5,25.4,0.68,0.0
2019-04-20,nation,ca,6826.0,933,175,6508.0,299,2970.0,2967.0,55,2864.0,153,1900.0,206,2119.0,99,234,1108,4.67,5.34,4.59,7.88,16.23,1.85,10.84,13.67,2.56
2019-04-20,province,bc,602.0,90,13,602.0,39,301.0,301.0,6,301.0,3,235.0,27,235.0,13,15,103,5.53,1.0,6.48,4.98,17.11,1.99,11.49,14.95,2.16
2019-04-20,province,on,1375.0,160,18,1327.0,24,655.0,646.0,4,642.0,27,213.0,22,162.0,9,38,178,5.56,4.21,1.81,5.8,12.95,0.62,10.33,11.64,1.31
2019-04-20,province,qc,2696.0,343,64,2568.0,121,562.0,568.0,16,541.0,35,,0,539.0,15,54,407,2.78,6.47,4.71,9.61,15.09,2.82,,12.72,2.37
2019-04-27,nation,ca,6603.0,747,194,6327.0,223,3023.0,3008.0,51,2927.0,139,1906.0,260,2098.0,73,262,941,3.48,4.75,3.52,8.67,14.25,1.7,13.64,11.31,2.94
2019-04-27,province,bc,541.0,67,8,541.0,17,302.0,302.0,1,302.0,4,255.0,49,255.0,14,29,75,5.49,1.32,3.14,9.6,13.86,0.33,19.22,12.38,1.48
2019-04-27,province,on,1438.0,134,24,1406.0,31,786.0,772.0,7,773.0,32,219.0,24,186.0,5,53,158,2.69,4.14,2.2,6.74,10.99,0.91,10.96,9.32,1.67
2019-04-27,province,qc,2445.0,237,81,2345.0,79,503.0,502.0,12,485.0,22,,0,485.0,4,33,318,0.82,4.54,3.37,6.56,13.0,2.39,,9.69,3.31
