time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2024-06-08,province,nl,669.0,95,581.0,2,2,581.0,3,581.0,581.0,2,581.0,9,581.0,85,581.0,9,33,4,1.549,1.549,14.2,0.516,5.68,0.688,0.344,14.63,0.344,0.344
2024-03-02,nation,ca,33779.0,2375,32543.0,2187,1311,28626.0,1085,10419.0,10484.0,173,10398.0,408,8601.0,557,8590.0,609,250,3498,7.09,3.92,7.03,3.79,2.4,10.75,1.65,6.48,6.72,4.03
2024-03-02,province,on,8299.0,515,7133.0,408,207,7134.0,88,5157.0,5157.0,52,5157.0,174,5157.0,240,3511.0,292,146,615,8.32,3.37,6.21,1.23,2.83,8.62,1.01,4.65,5.72,2.9
2024-03-02,province,qc,10468.0,511,11373.0,1242,487,8150.0,325,1800.0,1822.0,41,1802.0,90,,0,1643.0,123,20,1729,7.49,4.99,4.88,3.99,1.11,15.2,2.25,,10.92,4.28
2024-03-09,nation,ca,32484.0,2027,31700.0,1759,1623,27634.0,1006,9897.0,9989.0,131,9915.0,453,8230.0,537,8072.0,552,271,3382,6.84,4.57,6.24,3.64,2.74,10.67,1.31,6.52,5.55,5.12
2024-03-09,province,bc,3860.0,475,4160.0,180,117,4043.0,160,1002.0,1002.0,23,1002.0,76,956.0,119,956.0,57,31,297,5.96,7.58,12.31,3.96,3.09,7.14,2.3,12.45,4.33,2.81
2024-03-09,province,on,7884.0,368,6873.0,336,281,6873.0,61,4982.0,4982.0,39,4991.0,224,4991.0,240,3342.0,268,132,617,8.02,4.49,4.67,0.89,2.65,8.98,0.78,4.81,4.89,4.09
2024-03-09,province,qc,9479.0,328,10775.0,953,568,7381.0,302,1681.0,1708.0,29,1677.0,95,,0,1522.0,106,31,1520,6.96,5.66,3.46,4.09,1.84,14.11,1.7,,8.84,5.27
2024-03-16,nation,ca,32416.0,1987,30555.0,1332,1656,26585.0,845,9750.0,9808.0,127,9742.0,475,8300.0,554,8007.0,575,334,2988,7.18,4.88,6.13,3.18,3.43,9.78,1.29,6.67,4.36,5.42
2024-03-16,province,bc,3904.0,454,4077.0,180,148,3935.0,144,996.0,996.0,24,996.0,71,964.0,116,964.0,52,39,328,5.39,7.13,11.63,3.66,3.92,8.05,2.41,12.03,4.42,3.63
2024-03-16,province,on,7702.0,421,6948.0,274,264,6948.0,61,5071.0,5072.0,40,5084.0,242,5084.0,274,3476.0,285,175,538,8.2,4.76,5.47,0.88,3.45,7.74,0.79,5.39,3.94,3.8
2024-03-16,province,qc,9376.0,284,9835.0,595,554,6559.0,235,1433.0,1458.0,29,1433.0,81,,0,1287.0,94,27,1149,7.3,5.65,3.03,3.58,1.88,11.68,1.99,,6.05,5.63
2024-03-23,nation,ca,30991.0,1602,30633.0,1011,1783,26748.0,666,9990.0,10056.0,143,9948.0,461,8413.0,558,8202.0,557,410,2794,6.79,4.63,5.17,2.49,4.1,9.12,1.42,6.63,3.3,5.82
2024-03-23,province,bc,3552.0,348,3820.0,156,132,3707.0,104,924.0,924.0,32,924.0,62,900.0,104,900.0,56,57,288,6.22,6.71,9.8,2.81,6.17,7.54,3.46,11.56,4.08,3.46
2024-03-23,province,on,7772.0,331,6960.0,230,236,6961.0,34,5076.0,5076.0,60,5085.0,249,5085.0,277,3452.0,256,208,466,7.42,4.9,4.26,0.49,4.1,6.69,1.18,5.45,3.3,3.39
2024-03-23,province,qc,8609.0,194,9578.0,366,531,6480.0,216,1588.0,1614.0,24,1589.0,87,,0,1455.0,90,37,897,6.19,5.48,2.25,3.33,2.33,9.36,1.49,,3.82,5.54
2024-03-30,nation,ca,29569.0,1434,29850.0,809,1970,26067.0,605,9394.0,9442.0,154,9329.0,468,7851.0,578,7797.0,469,425,2779,6.02,5.02,4.85,2.32,4.52,9.31,1.63,7.36,2.71,6.6
2024-03-30,province,bc,3450.0,319,3681.0,113,116,3555.0,65,927.0,927.0,37,927.0,75,911.0,117,911.0,56,52,229,6.15,8.09,9.25,1.83,5.61,6.22,3.99,12.84,3.07,3.15
2024-03-30,province,on,6962.0,298,6384.0,156,210,6384.0,37,4578.0,4578.0,40,4589.0,217,4589.0,236,3111.0,202,210,366,6.49,4.73,4.28,0.58,4.59,5.73,0.87,5.14,2.44,3.29
2024-03-02,province,bc,3972.0,467,4231.0,222,83,4096.0,177,1082.0,1082.0,31,1082.0,79,1041.0,143,1041.0,56,26,305,5.38,7.3,11.76,4.32,2.4,7.21,2.87,13.74,5.25,1.96
2024-02-24,province,qc,10925.0,557,11748.0,1671,309,8169.0,372,1825.0,1837.0,37,1825.0,51,,0,1644.0,169,29,1980,10.28,2.79,5.1,4.55,1.59,16.85,2.01,,14.22,2.63
2024-01-20,province,qc,11599.0,1345,11099.0,1634,40,7837.0,456,1843.0,1851.0,22,1837.0,43,,0,1698.0,71,9,1674,4.18,2.34,11.6,5.82,0.49,15.08,1.19,,14.72,0.36
2024-02-24,province,on,8077.0,551,7189.0,458,169,7189.0,82,5114.0,5114.0,41,5113.0,134,5113.0,255,3416.0,279,93,627,8.17,2.62,6.82,1.14,1.82,8.72,0.8,4.99,6.37,2.35
2024-01-27,province,bc,4459.0,530,4722.0,504,41,4514.0,332,996.0,996.0,34,996.0,48,961.0,81,961.0,38,13,545,3.95,4.82,11.89,7.35,1.31,11.54,3.41,8.43,10.67,0.87
2024-01-27,province,on,9238.0,1053,8274.0,734,49,8260.0,216,5677.0,5675.0,44,5678.0,64,5678.0,177,3941.0,227,80,783,5.76,1.13,11.4,2.62,1.41,9.46,0.78,3.12,8.87,0.59
2024-01-27,province,qc,11052.0,1082,11277.0,1990,32,7786.0,427,1793.0,1807.0,42,1793.0,32,,0,1640.0,90,5,2022,5.49,1.78,9.79,5.48,0.28,17.93,2.32,,17.65,0.28
2024-02-03,nation,ca,36771.0,3434,35522.0,4007,526,30446.0,1799,11179.0,11223.0,182,11160.0,253,9317.0,468,9137.0,466,162,4533,5.1,2.27,9.34,5.91,1.45,12.76,1.62,5.02,11.28,1.48
2024-02-03,province,bc,4420.0,470,4626.0,397,58,4426.0,324,1085.0,1085.0,39,1085.0,59,1035.0,94,1035.0,46,14,455,4.44,5.44,10.63,7.32,1.29,9.83,3.59,9.08,8.58,1.25
2024-02-03,province,on,9011.0,879,7738.0,642,79,7736.0,164,5534.0,5534.0,41,5534.0,75,5534.0,181,3717.0,233,92,721,6.27,1.36,9.75,2.12,1.66,9.32,0.74,3.27,8.3,1.02
2024-02-03,province,qc,10995.0,943,12036.0,2298,73,7985.0,405,1833.0,1841.0,47,1831.0,45,,0,1647.0,84,10,2371,5.1,2.46,8.58,5.07,0.55,19.7,2.55,,19.09,0.61
2024-02-10,nation,ca,34740.0,3054,33997.0,3525,592,29075.0,1515,10714.0,10761.0,198,10709.0,272,8831.0,553,8766.0,596,167,4117,6.8,2.54,8.79,5.21,1.56,12.11,1.84,6.26,10.37,1.74
