time_value,geo_type,geo_value,sarscov2_pct_positive,rsv_pct_positive,flu_pct_positive
2024-08-31,nation,ca,17.857,0.516,0.58
2024-09-28,region,territories,7.6,0.0,0.6
2024-09-28,province,on,15.0,0.4,0.2
2024-09-28,province,pe,17.391,4.412,0.0
2024-09-28,province,qc,20.358,1.953,0.205
2024-09-28,province,sk,16.981,0.603,0.276
2024-09-28,region,atlantic,16.304,0.101,0.194
2024-09-28,region,prairies,14.18,0.476,0.372
2024-09-28,territory,nt,2.5,0.0,0.0
2024-09-28,province,ns,18.3,,
2024-09-28,territory,nu,8.73,0.0,0.0
2024-09-28,territory,yk,8.889,0.0,3.03
2024-10-05,nation,ca,16.154,0.785,0.411
2024-10-05,province,ab,12.248,0.16,0.797
2024-10-05,province,bc,17.559,0.396,1.097
2024-10-05,province,mb,19.63,0.0,0.249
2024-10-05,province,nb,13.987,0.119,0.0
2024-09-21,territory,nu,9.0,,
2024-09-21,province,qc,23.1,1.3,0.3
2024-09-21,province,sk,15.681,0.105,0.283
2024-09-21,region,atlantic,17.007,0.0,0.036
2024-09-21,region,prairies,13.912,0.134,0.611
2024-09-21,region,territories,10.577,0.0,0.588
2024-09-21,territory,nt,12.766,0.0,0.0
2024-09-21,territory,yk,12.0,0.0,2.703
2024-09-28,province,nl,13.1,,
2024-09-28,nation,ca,17.052,0.796,0.484
2024-09-28,province,ab,12.095,0.539,0.505
2024-09-28,province,bc,18.485,0.205,1.903
2024-09-28,province,mb,19.518,0.0,0.243
2024-09-28,province,nb,15.727,0.0,0.227
2024-10-12,province,qc,14.7,2.6,0.3
2024-10-12,province,mb,16.6,,
2024-10-12,province,nb,11.982,0.0,0.0
2024-10-12,province,nl,9.781,0.149,0.0
2024-10-12,province,ns,14.89,0.483,0.069
2024-10-12,province,on,14.579,0.579,0.116
2024-10-12,province,pe,13.953,2.532,0.0
2024-10-12,province,sk,17.968,0.0,0.762
2024-10-12,province,bc,17.6,0.6,1.2
2024-10-12,region,atlantic,12.87,0.334,0.033
2024-10-12,region,prairies,15.606,0.502,0.566
2024-10-12,region,territories,6.087,0.0,1.604
2024-10-12,territory,nt,1.852,0.0,3.704
2024-10-12,territory,nu,5.6,0.0,0.0
2024-10-12,territory,yk,11.765,0.0,2.632
2024-10-05,province,nl,12.5,0.0,0.154
2024-10-05,region,atlantic,15.2,0.2,0.0
2024-10-05,province,ns,17.722,0.272,0.0
2024-10-05,province,on,15.599,0.591,0.192
2024-10-05,province,pe,11.224,0.0,0.0
2024-10-05,province,qc,17.851,1.93,0.325
2024-10-05,province,sk,17.514,0.086,0.557
2024-10-05,region,prairies,14.512,0.116,0.655
2024-10-12,province,ab,14.7,,
2024-10-05,region,territories,4.828,0.0,0.0
2024-10-05,territory,nt,5.263,0.0,0.0
2024-10-05,territory,nu,5.479,0.0,0.0
2024-10-05,territory,yk,2.941,0.0,0.0
2024-10-12,nation,ca,14.933,1.056,0.393
2024-09-21,province,pe,11.0,,
2024-09-07,province,nl,14.481,0.0,0.0
2024-08-31,territory,yk,21.739,0.0,0.0
2024-09-07,nation,ca,18.356,0.45,0.479
2024-09-07,province,ab,11.945,0.111,0.49
2024-09-07,province,bc,19.059,0.074,1.528
2024-09-07,province,mb,18.926,0.0,0.242
2024-09-07,province,nb,16.541,0.0,0.0
2024-08-31,territory,nu,4.673,0.0,0.0
2024-09-07,province,ns,18.921,0.0,0.172
2024-09-07,province,on,16.446,0.264,0.183
2024-09-07,province,pe,20.325,0.0,0.0
2024-09-07,province,qc,22.398,1.193,0.362
2024-09-07,province,sk,13.246,0.132,0.845
2024-09-07,region,atlantic,17.327,0.0,0.088
2024-08-31,territory,nt,30.8,,
2024-09-21,province,on,18.5,0.4,0.3
2024-08-31,province,on,15.405,0.25,0.384
2024-08-31,province,ab,10.188,0.118,0.855
2024-08-31,province,bc,18.825,0.477,1.391
2024-08-31,province,mb,17.169,0.312,0.0
2024-08-31,province,nb,16.775,0.155,0.0
2024-08-31,province,nl,13.193,0.0,0.0
2024-08-31,province,ns,20.618,0.0,0.175
2024-08-31,province,pe,15.827,2.439,0.0
2024-08-31,province,qc,22.744,1.118,0.149
2024-08-31,province,sk,11.927,0.258,3.687
2024-08-31,region,atlantic,17.661,0.093,0.089
2024-08-31,region,prairies,11.979,0.206,1.882
2024-08-31,region,territories,12.849,0.0,0.0
2024-09-07,region,prairies,13.636,0.097,0.574
2024-09-07,region,territories,12.651,0.0,0.685
2024-09-21,nation,ca,18.9,0.6,0.5
2024-09-14,region,atlantic,17.0,0.0,0.0
2024-09-14,region,prairies,12.833,0.317,0.817
2024-09-14,region,territories,15.263,0.694,1.379
2024-09-14,territory,nt,18.919,0.0,2.703
2024-09-14,territory,nu,9.278,1.538,1.538
2024-09-14,territory,yk,23.214,0.0,0.0
2024-09-21,province,ab,12.19,0.202,1.086
2024-09-21,province,bc,17.268,0.396,1.978
2024-09-21,province,mb,18.009,0.0,0.0
2024-09-21,province,nb,16.038,0.0,0.0
2024-09-21,province,nl,13.032,0.0,0.0
2024-09-21,province,ns,20.836,0.0,0.079
2024-09-14,province,sk,13.1,,
2024-09-14,province,qc,22.5,1.3,0.2
2024-09-07,territory,nt,23.81,0.0,0.0
2024-09-07,territory,nu,5.495,0.0,1.25
2024-09-07,territory,yk,18.182,0.0,0.0
2024-09-14,nation,ca,18.66,0.619,0.543
