time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests
2024-08-31,nation,ca,26909.0,4806,18265.0,106,99,7,17044.0,88,7590.0,7633.0,67,7611.0,30,7697.0,734,6253.0,31,114
2024-09-28,province,ab,5250.0,635,,0,0,0,,0,,,0,,0,,0,,0,0
2024-09-21,territory,nt,47.0,6,,0,0,0,,0,,,0,,0,,0,,0,0
2024-09-21,territory,nu,111.0,10,88.0,0,0,0,88.0,0,,,0,,0,,0,,0,0
2024-09-21,territory,yk,50.0,6,37.0,1,1,0,37.0,0,,,0,,0,,0,,0,0
2024-09-28,nation,ca,33992.0,5804,22395.0,109,101,8,21117.0,166,9323.0,9367.0,87,9404.0,24,9399.0,1893,7721.0,47,106
2024-09-28,province,bc,3447.0,637,3415.0,65,64,1,3415.0,7,843.0,843.0,2,843.0,6,833.0,209,833.0,3,14
2024-09-28,province,mb,1327.0,259,411.0,1,1,0,411.0,0,67.0,67.0,0,110.0,0,67.0,20,110.0,0,2
2024-09-28,province,nb,1348.0,212,880.0,2,2,0,880.0,0,138.0,138.0,3,138.0,0,138.0,43,138.0,2,0
2024-09-28,province,nl,789.0,103,641.0,0,0,0,641.0,0,641.0,641.0,4,641.0,4,641.0,164,641.0,3,6
2024-09-28,province,ns,1560.0,286,1496.0,4,4,0,1393.0,0,36.0,36.0,1,36.0,0,36.0,7,36.0,1,0
2024-09-21,province,sk,1402.0,219,,0,0,0,,0,,,0,,0,,0,,0,0
2024-09-21,province,qc,11802.0,2724,7152.0,19,15,4,6048.0,76,1584.0,1600.0,20,1581.0,4,1644.0,319,1532.0,30,28
2024-09-21,province,ab,4069.0,496,1105.0,12,9,3,990.0,2,990.0,990.0,10,903.0,0,977.0,212,990.0,5,8
2024-09-21,province,bc,3075.0,531,3033.0,60,60,0,3033.0,12,831.0,831.0,2,831.0,4,823.0,186,823.0,4,22
2024-09-21,province,mb,1105.0,199,290.0,0,0,0,290.0,0,67.0,67.0,2,91.0,0,67.0,28,91.0,0,2
2024-09-21,province,nb,1272.0,204,859.0,0,0,0,859.0,0,153.0,153.0,5,153.0,0,153.0,47,153.0,5,4
2024-09-21,province,nl,775.0,101,641.0,0,0,0,641.0,0,641.0,641.0,5,641.0,1,641.0,150,641.0,2,6
2024-09-21,province,ns,1339.0,279,1272.0,1,1,0,1177.0,0,42.0,42.0,0,42.0,0,42.0,13,42.0,1,0
