time_value,geo_type,geo_value,sarscov2_pct_positive,rsv_pct_positive,flu_pct_positive
2025-01-11,region,territories,3.3,2.3,16.4
2024-10-12,territory,nt,1.85,0.0,3.7
2024-10-12,province,qc,14.7,2.61,0.27
2024-10-12,province,on,14.38,0.59,0.11
2024-10-12,province,mb,16.6,0.27,0.0
2024-10-12,province,sk,20.57,0.0,0.8
2024-10-12,province,ab,14.67,0.77,0.58
2024-10-12,region,prairies,16.12,0.51,0.59
2024-10-12,province,bc,17.74,0.56,1.16
2024-10-12,territory,yk,11.76,0.0,2.63
2024-10-12,territory,nu,5.6,0.0,0.0
2024-10-19,province,mb,18.58,0.0,3.51
2024-10-12,region,territories,6.09,0.0,1.6
2024-10-12,nation,ca,15.03,1.05,0.4
2024-10-19,province,nl,9.95,0.0,0.29
2024-10-19,province,pe,23.56,3.64,0.0
2024-10-19,province,ns,11.43,0.24,0.0
2024-10-19,province,nb,10.47,0.26,0.0
2024-10-19,region,atlantic,11.49,0.32,0.07
2024-10-19,province,qc,15.8,2.87,0.29
2024-10-12,region,atlantic,12.87,0.35,0.03
2024-10-12,province,nb,11.98,0.0,0.0
2024-10-12,province,ns,14.89,0.52,0.07
2024-10-12,province,pe,13.95,2.53,0.0
2024-10-05,province,pe,11.22,0.0,0.0
2024-10-05,province,ns,17.72,0.27,0.0
2024-10-05,province,nb,13.99,0.12,0.0
2024-10-05,region,atlantic,15.16,0.17,0.03
2024-10-05,province,qc,17.86,1.93,0.32
2024-10-05,province,on,15.6,0.59,0.19
2024-10-05,province,mb,19.63,0.0,0.25
2024-10-05,province,sk,17.54,0.09,0.56
2024-10-05,province,ab,12.16,0.16,0.8
2024-10-05,region,prairies,14.47,0.12,0.65
2024-10-05,province,bc,17.56,0.4,1.1
2024-10-05,territory,yk,2.94,0.0,0.0
2024-10-05,territory,nt,5.26,0.0,0.0
2024-10-05,territory,nu,5.48,0.0,0.0
2024-10-05,region,territories,4.83,0.0,0.0
2024-10-05,nation,ca,16.15,0.78,0.41
2024-10-12,province,nl,9.78,0.15,0.0
2024-10-19,province,on,17.41,1.01,0.33
2024-10-19,province,sk,16.62,0.34,0.39
2025-01-11,nation,ca,8.48,9.05,11.79
2024-11-02,province,qc,13.2,4.31,0.68
2024-10-26,territory,nu,10.71,0.0,0.0
2024-10-26,region,territories,8.73,0.0,0.61
2024-10-26,nation,ca,15.05,1.49,0.56
2024-11-02,province,nl,8.44,0.13,0.13
2024-11-02,province,pe,9.52,1.54,0.0
2024-11-02,province,ns,12.24,0.29,0.18
2024-11-02,province,nb,10.16,0.24,0.24
2024-11-02,region,atlantic,10.45,0.26,0.18
2024-11-02,province,on,16.15,1.54,0.63
2024-10-19,province,ab,13.74,0.6,0.83
2024-11-02,province,mb,21.4,1.53,2.86
2024-11-02,province,sk,15.3,0.18,0.16
2024-11-02,province,ab,11.56,1.03,1.11
2024-11-02,region,prairies,13.84,0.9,1.07
2024-11-02,province,bc,12.7,1.28,1.37
2024-11-02,territory,yk,5.13,0.0,0.0
2024-11-02,territory,nt,13.64,0.0,0.0
2024-11-02,territory,nu,7.14,1.56,0.0
2024-10-26,territory,nt,11.11,0.0,2.22
2024-10-26,territory,yk,0.0,0.0,0.0
2024-10-26,province,bc,13.14,1.09,1.11
2024-10-26,region,prairies,14.79,0.65,1.03
2024-10-19,region,prairies,15.0,0.49,0.84
2024-10-19,province,bc,16.07,1.05,1.17
2024-10-19,territory,yk,2.44,0.0,2.94
2024-10-19,territory,nt,19.57,0.0,0.0
2024-10-19,territory,nu,13.04,0.0,0.0
2024-10-19,region,territories,12.29,0.0,0.75
2024-10-19,nation,ca,15.58,1.32,0.51
2024-10-26,province,nl,9.78,0.0,0.4
2024-10-26,province,pe,15.44,0.69,0.0
2024-10-26,province,ns,12.92,0.16,0.0
2024-10-26,province,nb,10.97,0.36,0.24
2024-10-26,region,atlantic,11.74,0.2,0.16
2024-10-26,province,qc,14.57,3.33,0.26
2024-10-26,province,on,18.17,1.17,0.41
2024-10-26,province,mb,19.34,0.51,1.37
2024-10-26,province,sk,18.61,0.17,0.52
2024-10-26,province,ab,12.47,0.86,1.18
2024-10-05,province,nl,12.5,0.0,0.15
2024-09-28,nation,ca,17.04,0.8,0.48
2024-09-28,region,territories,7.58,0.0,0.58
2024-09-07,territory,nt,23.81,0.0,0.0
2024-09-07,province,qc,22.4,1.19,0.36
2024-09-07,province,on,16.45,0.26,0.18
2024-09-07,province,mb,18.93,0.0,0.24
2024-09-07,province,sk,13.25,0.13,0.85
2024-09-07,province,ab,11.95,0.11,0.49
2024-09-07,region,prairies,13.64,0.1,0.57
2024-09-07,province,bc,19.06,0.07,1.53
2024-09-07,territory,yk,18.18,0.0,0.0
2024-09-07,territory,nu,5.49,0.0,1.25
2024-09-28,territory,nu,8.73,0.0,0.0
2024-09-07,region,territories,12.65,0.0,0.68
2024-09-07,nation,ca,18.36,0.45,0.48
2024-09-14,province,nl,15.72,0.0,0.0
2024-09-14,province,pe,12.31,0.0,0.0
2024-09-14,province,ns,17.96,0.09,0.08
2024-09-14,province,nb,17.1,0.0,0.0
2024-09-14,region,atlantic,17.02,0.04,0.04
2024-09-14,province,qc,22.51,1.3,0.16
2024-09-07,region,atlantic,17.33,0.0,0.09
2024-09-07,province,nb,16.54,0.0,0.0
2024-09-07,province,ns,18.92,0.0,0.17
2024-09-07,province,pe,20.33,0.0,0.0
2024-08-31,province,nl,13.19,0.0,0.0
2024-08-31,province,pe,15.83,2.44,0.0
2024-08-31,province,ns,20.62,0.0,0.17
2024-08-31,province,nb,16.78,0.16,0.0
2024-08-31,region,atlantic,17.66,0.09,0.09
2024-08-31,province,qc,22.74,1.12,0.15
2024-08-31,province,on,15.4,0.25,0.38
2024-08-31,province,mb,17.17,0.31,0.0
2024-08-31,province,sk,11.93,0.26,3.69
2024-08-31,region,prairies,11.98,0.21,1.88
2024-08-31,province,bc,18.83,0.48,1.39
2024-08-31,territory,yk,21.74,0.0,0.0
2024-08-31,territory,nt,30.77,0.0,0.0
2024-08-31,territory,nu,4.67,0.0,0.0
2024-08-31,region,territories,12.85,0.0,0.0
2024-08-31,nation,ca,17.86,0.52,0.58
2024-09-07,province,nl,14.48,0.0,0.0
2024-09-14,province,on,18.31,0.44,0.34
2024-09-14,province,mb,16.37,0.0,0.71
2024-09-14,province,sk,13.11,0.47,0.96
2024-09-21,territory,yk,12.0,0.0,2.7
2024-09-21,territory,nu,9.01,0.0,0.0
2024-09-21,region,territories,10.58,0.0,0.59
2024-09-21,nation,ca,18.9,0.56,0.53
2024-09-28,province,nl,13.05,0.0,0.0
2024-09-28,province,pe,17.39,4.41,0.0
2024-09-28,province,ns,18.33,0.0,0.27
2024-09-28,province,nb,15.73,0.0,0.23
2024-09-28,region,atlantic,16.3,0.1,0.19
2024-09-28,province,qc,20.36,1.95,0.21
2024-09-28,province,on,15.04,0.41,0.21
2024-09-28,province,mb,19.52,0.0,0.24
2024-09-28,province,sk,16.97,0.6,0.28
2024-09-28,province,ab,12.04,0.54,0.5
2024-09-28,region,prairies,14.14,0.48,0.37
2024-09-28,province,bc,18.49,0.2,1.9
2024-09-28,territory,yk,8.89,0.0,3.03
2024-09-28,territory,nt,2.5,0.0,0.0
2024-09-21,territory,nt,12.77,0.0,0.0
2024-09-21,province,bc,17.27,0.4,1.98
2024-09-14,province,ab,11.62,0.32,0.74
2024-09-21,region,prairies,13.92,0.13,0.61
2024-09-14,region,prairies,12.83,0.32,0.82
2024-09-14,province,bc,18.88,0.32,2.08
2024-09-14,territory,yk,23.21,0.0,0.0
2024-09-14,territory,nt,18.92,0.0,2.7
2024-09-14,territory,nu,9.28,1.54,1.54
2024-09-14,region,territories,15.26,0.69,1.38
2024-09-14,nation,ca,18.66,0.62,0.54
2024-09-21,province,nl,13.03,0.0,0.0
2024-09-21,province,pe,11.03,0.0,0.0
2024-09-21,province,ns,20.84,0.0,0.08
2024-09-21,province,nb,16.04,0.0,0.0
2024-09-21,region,atlantic,17.01,0.0,0.04
2024-09-21,province,qc,23.08,1.26,0.27
2024-09-21,province,on,18.46,0.36,0.29
2024-09-21,province,mb,18.01,0.0,0.0
2024-09-21,province,sk,15.65,0.11,0.28
2024-09-21,province,ab,12.21,0.2,1.08
